https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM3L,Volume USDT
1663459200,2022-09-18 00:00:00,FTM3L/USDT,0.1446,0.1446,0.142012,0.143694,10564.8289,1512.9228001468
1663372800,2022-09-17 00:00:00,FTM3L/USDT,0.136384,0.146125,0.134296,0.1446,771637.3606,107755.1728506527
1663286400,2022-09-16 00:00:00,FTM3L/USDT,0.127654,0.13972,0.122915,0.136384,1094820.7466,142741.9047508444
1663200000,2022-09-15 00:00:00,FTM3L/USDT,0.145149,0.145149,0.12197,0.125805,1340656.2393,176685.9368159789
1663113600,2022-09-14 00:00:00,FTM3L/USDT,0.139578,0.149326,0.131173,0.144908,1195459.2632,170708.085247496
1663027200,2022-09-13 00:00:00,FTM3L/USDT,0.181708,0.194999,0.1375,0.13965,2263218.23274784,370675.00498864841904
1662940800,2022-09-12 00:00:00,FTM3L/USDT,0.189387,0.216387,0.168996,0.182821,1868462.5365,358776.7175409126
1662854400,2022-09-11 00:00:00,FTM3L/USDT,0.195092,0.205753,0.175365,0.18943,991804.06669719,188890.83617738857086
1662768000,2022-09-10 00:00:00,FTM3L/USDT,0.192112,0.217,0.184623,0.194431,1547561.6644,306018.9050213912
1662681600,2022-09-09 00:00:00,FTM3L/USDT,0.154519,0.195364,0.154519,0.191462,1900326.89089412,337729.60595704734924
1662595200,2022-09-08 00:00:00,FTM3L/USDT,0.155896,0.161913,0.143,0.15452,1231971.5604,189292.952229127
1662508800,2022-09-07 00:00:00,FTM3L/USDT,0.140647,0.163,0.132525,0.155896,2474543.1971,366068.6190645395
1662422400,2022-09-06 00:00:00,FTM3L/USDT,0.186812,0.2,0.14,0.140292,2519990.99706537,423546.42068212211285
1662336000,2022-09-05 00:00:00,FTM3L/USDT,0.202036,0.20923,0.170003,0.186551,1105340.6999,203858.6590225445
1662249600,2022-09-04 00:00:00,FTM3L/USDT,0.191041,0.204471,0.186963,0.202,640923.391,125401.5050116496
1662163200,2022-09-03 00:00:00,FTM3L/USDT,0.193889,0.197487,0.1841,0.190793,569148.4564,109217.6308075715
1662076800,2022-09-02 00:00:00,FTM3L/USDT,0.202082,0.21943,0.185799,0.194819,1085226.0906,218417.2167063206
1661990400,2022-09-01 00:00:00,FTM3L/USDT,0.205147,0.210111,0.182002,0.202319,1426978.9076,279559.8006266646
1661904000,2022-08-31 00:00:00,FTM3L/USDT,0.204596,0.232339,0.203089,0.204436,527574.25533485,115492.42006149201847
1661817600,2022-08-30 00:00:00,FTM3L/USDT,0.227583,0.239529,0.189595,0.20431,1600513.25495951,336773.23877465267675
1661731200,2022-08-29 00:00:00,FTM3L/USDT,0.187597,0.233278,0.178029,0.226812,1118221.89280981,231408.52456812870238
1661644800,2022-08-28 00:00:00,FTM3L/USDT,0.210406,0.227083,0.185001,0.187335,840091.8553732,174426.63066814610255
1661558400,2022-08-27 00:00:00,FTM3L/USDT,0.209,0.219872,0.191114,0.21004,1072000.73288418,223368.2584540015133
1661472000,2022-08-26 00:00:00,FTM3L/USDT,0.311186,0.313985,0.200665,0.20962,2081696.53552396,553604.89184311998774
1661385600,2022-08-25 00:00:00,FTM3L/USDT,0.295291,0.343976,0.295289,0.311462,795480.27958619,254257.27629018953207
1661299200,2022-08-24 00:00:00,FTM3L/USDT,0.307414,0.33,0.271575,0.295603,983577.57902904,297834.41710130023795
1661212800,2022-08-23 00:00:00,FTM3L/USDT,0.281489,0.313665,0.26,0.307238,934077.46715753,275419.83461337434274
1661126400,2022-08-22 00:00:00,FTM3L/USDT,0.313803,0.313803,0.250393,0.280895,1067995.35087581,287113.51555760421411
1661040000,2022-08-21 00:00:00,FTM3L/USDT,0.288888,0.322497,0.285614,0.315416,571771.18481239,176049.99378660424755
1660953600,2022-08-20 00:00:00,FTM3L/USDT,0.296232,0.335252,0.260001,0.287411,1042991.21391538,313825.86571557319304
1660867200,2022-08-19 00:00:00,FTM3L/USDT,0.410555,0.420515,0.255,0.294717,1751281.0769888,576183.50877905090036
1660780800,2022-08-18 00:00:00,FTM3L/USDT,0.482885,0.537357,0.364366,0.410555,1068233.44466507,521775.86511253172393
1660694400,2022-08-17 00:00:00,FTM3L/USDT,0.576225,0.637011,0.460876,0.482795,1100562.5386551,591635.14270242967305
1660608000,2022-08-16 00:00:00,FTM3L/USDT,0.60054,0.631145,0.566321,0.576323,787800.20423592,465292.96466901177482
1660521600,2022-08-15 00:00:00,FTM3L/USDT,0.675794,0.762659,0.581278,0.60154,1121840.8177969,741995.63372903943158
1660435200,2022-08-14 00:00:00,FTM3L/USDT,0.748608,0.804089,0.650104,0.676294,907131.29123558,670635.20156179579369
1660348800,2022-08-13 00:00:00,FTM3L/USDT,0.762324,0.845,0.725398,0.748286,640788.08259708,496467.97868305086626
1660262400,2022-08-12 00:00:00,FTM3L/USDT,0.701843,0.775064,0.666097,0.760262,885292.31338344,643933.09782581323535
1660176000,2022-08-11 00:00:00,FTM3L/USDT,0.797478,0.829721,0.689054,0.703616,874520.15217437,661743.64028186027833
1660089600,2022-08-10 00:00:00,FTM3L/USDT,0.624275,0.843713,0.553175,0.793323,1796071.60793969,1273491.34786087612907
1660003200,2022-08-09 00:00:00,FTM3L/USDT,0.661368,0.73,0.53518,0.626446,1294870.63280921,811008.91293040813993
1659916800,2022-08-08 00:00:00,FTM3L/USDT,0.623983,0.726512,0.619388,0.664696,945955.13425144,637561.56224481235145
1659830400,2022-08-07 00:00:00,FTM3L/USDT,0.599608,0.663,0.55,0.622817,978423.73069384,602497.18003176848759
1659744000,2022-08-06 00:00:00,FTM3L/USDT,0.683999,0.721989,0.582475,0.601545,798047.8319725,516271.24850854219851
1659657600,2022-08-05 00:00:00,FTM3L/USDT,0.614512,0.706054,0.583601,0.683988,1215767.3664461,791261.58604207863492
1659571200,2022-08-04 00:00:00,FTM3L/USDT,0.487275,0.625543,0.48639,0.614119,1876290.74842659,1066198.03694197308996
1659484800,2022-08-03 00:00:00,FTM3L/USDT,0.453437,0.535889,0.41,0.488014,1461103.27186683,706987.04781817392655
1659398400,2022-08-02 00:00:00,FTM3L/USDT,0.512462,0.536003,0.406221,0.45197,1861145.46006196,862596.15755585883093
1659312000,2022-08-01 00:00:00,FTM3L/USDT,0.45467,0.526936,0.436337,0.509278,2572293.94601488,1258426.10663065454096
1659225600,2022-07-31 00:00:00,FTM3L/USDT,0.481983,0.564472,0.442666,0.45492,2246528.87630201,1157714.58462690239711
1659139200,2022-07-30 00:00:00,FTM3L/USDT,0.486368,0.600046,0.465373,0.481235,2482088.35022592,1327872.12021055116896
1659052800,2022-07-29 00:00:00,FTM3L/USDT,0.496129,0.562283,0.438518,0.485366,2420352.77561928,1207816.34601709107039
1658966400,2022-07-28 00:00:00,FTM3L/USDT,0.466934,0.522673,0.405696,0.49632,2262645.02660902,1063072.19743786716142
1658880000,2022-07-27 00:00:00,FTM3L/USDT,0.367339,0.469868,0.335419,0.466556,2821746.12047354,1100315.71105782301723
1658793600,2022-07-26 00:00:00,FTM3L/USDT,0.367549,0.382154,0.311276,0.369783,2366037.98405191,822213.55200690763803
1658707200,2022-07-25 00:00:00,FTM3L/USDT,0.660402,0.675368,0.366792,0.369257,2833918.71653538,1302631.38238765932623
1658620800,2022-07-24 00:00:00,FTM3L/USDT,0.586527,0.718541,0.525704,0.660335,1877362.42781131,1131993.78176219733544
1658534400,2022-07-23 00:00:00,FTM3L/USDT,0.48483,0.645309,0.462252,0.586635,2129598.391985,1207777.28435015594411
1658448000,2022-07-22 00:00:00,FTM3L/USDT,0.553671,0.601395,0.453861,0.483063,1610598.42231248,847062.87058389245431
1658361600,2022-07-21 00:00:00,FTM3L/USDT,0.453176,0.567468,0.378982,0.552444,2136546.0501968,1007284.55929204073217
1658275200,2022-07-20 00:00:00,FTM3L/USDT,0.608657,0.711501,0.429383,0.448822,2014388.21439196,1154638.21088325643471
1658188800,2022-07-19 00:00:00,FTM3L/USDT,0.432067,0.655799,0.392149,0.610106,2308361.52711341,1242452.20955670132054
1658102400,2022-07-18 00:00:00,FTM3L/USDT,0.284982,0.45,0.282131,0.42915,1541072.67806124,570660.35452697129337
1658016000,2022-07-17 00:00:00,FTM3L/USDT,0.314381,0.34265,0.283729,0.285042,926552.42288206,287376.3942373965636
1657929600,2022-07-16 00:00:00,FTM3L/USDT,0.293668,0.320818,0.260698,0.313853,1300885.57608154,377750.09223363301479
1657843200,2022-07-15 00:00:00,FTM3L/USDT,0.283662,0.316027,0.268023,0.290151,1268502.40836431,374360.41101269241897
1657756800,2022-07-14 00:00:00,FTM3L/USDT,0.261617,0.289502,0.225017,0.28308,1436963.80945895,364723.5516602176363
1657670400,2022-07-13 00:00:00,FTM3L/USDT,0.227061,0.264734,0.190369,0.260307,1751662.56610762,389321.91482434411658
1657584000,2022-07-12 00:00:00,FTM3L/USDT,0.253603,0.273574,0.225,0.226475,1052187.89336854,265357.41698537109475
1657497600,2022-07-11 00:00:00,FTM3L/USDT,0.339011,0.341563,0.248932,0.251717,974116.86408701,296186.96501907025289
1657411200,2022-07-10 00:00:00,FTM3L/USDT,0.403011,0.407829,0.322144,0.339235,905343.86516906,320790.05685327285531
1657324800,2022-07-09 00:00:00,FTM3L/USDT,0.365896,0.431361,0.365411,0.403176,489995.41066829,198497.24002249177431
1657238400,2022-07-08 00:00:00,FTM3L/USDT,0.381543,0.454069,0.346136,0.368413,1029987.96028177,401308.28609683913474
1657152000,2022-07-07 00:00:00,FTM3L/USDT,0.329148,0.395,0.319178,0.379699,962922.16123558,340322.69667966616696
1657065600,2022-07-06 00:00:00,FTM3L/USDT,0.314974,0.344043,0.287611,0.33153,978395.42970951,306176.21537100114899
1656979200,2022-07-05 00:00:00,FTM3L/USDT,0.339673,0.375,0.273442,0.314974,1919534.56711219,613206.69370142131867
1656892800,2022-07-04 00:00:00,FTM3L/USDT,0.31441,0.348027,0.287041,0.339011,1261381.93534788,397721.26682323049042
1656806400,2022-07-03 00:00:00,FTM3L/USDT,0.2742,0.344166,0.263936,0.311577,1317682.71867442,389168.36160176904196
1656720000,2022-07-02 00:00:00,FTM3L/USDT,0.2796,0.289168,0.244729,0.273875,896192.49125362,239641.75700112650393
1656633600,2022-07-01 00:00:00,FTM3L/USDT,0.29395,0.332875,0.27,0.2796,1629896.25544237,477499.54262268469606
1656547200,2022-06-30 00:00:00,FTM3L/USDT,0.328192,0.342611,0.232705,0.292455,1847184.39887499,505869.34633464325829
1656460800,2022-06-29 00:00:00,FTM3L/USDT,0.377053,0.407601,0.310786,0.32947,1400799.36418104,487021.8138860018621
1656374400,2022-06-28 00:00:00,FTM3L/USDT,0.402162,0.472914,0.365001,0.374334,1250763.12975046,515865.32905664414684
1656288000,2022-06-27 00:00:00,FTM3L/USDT,0.4076,0.48098,0.383803,0.401616,917153.24509775,394122.2603112666123
