https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EXM
1663545600000,2022-09-19 00:00:00,EXM/BTC,8.3e-07,8.5e-07,8.3e-07,8.4e-07,0.004958034302659201,5902.42178888
1663459200000,2022-09-18 00:00:00,EXM/BTC,8.5e-07,8.5e-07,8.3e-07,8.3e-07,0.46918602794906505,565284.37102297
1663372800000,2022-09-17 00:00:00,EXM/BTC,8.5e-07,8.7e-07,8.4e-07,8.4e-07,0.257250935709474,306251.11393985
1663286400000,2022-09-16 00:00:00,EXM/BTC,8.6e-07,8.7e-07,8.4e-07,8.4e-07,0.23141750567081998,275497.0305605
1663200000000,2022-09-15 00:00:00,EXM/BTC,8.5e-07,9e-07,8.4e-07,8.6e-07,0.8481100019446827,986174.42086591
1663113600000,2022-09-14 00:00:00,EXM/BTC,8.4e-07,8.6e-07,8.4e-07,8.4e-07,0.2490633858999132,296504.03083323
1663027200000,2022-09-13 00:00:00,EXM/BTC,8.3e-07,8.5e-07,8.1e-07,8.5e-07,0.5562135108443494,654368.83628747
1662940800000,2022-09-12 00:00:00,EXM/BTC,8.1e-07,8.4e-07,8e-07,8.4e-07,0.201421597069896,239787.6155594
1662854400000,2022-09-11 00:00:00,EXM/BTC,8.2e-07,8.3e-07,8e-07,8.2e-07,0.1346426148972788,164198.31085034
1662768000000,2022-09-10 00:00:00,EXM/BTC,8.2e-07,8.3e-07,8.1e-07,8.2e-07,0.1634210526124592,199293.96660056
1662681600000,2022-09-09 00:00:00,EXM/BTC,8.3e-07,8.6e-07,8.1e-07,8.1e-07,0.37514601815210546,463143.23228655
1662595200000,2022-09-08 00:00:00,EXM/BTC,8.4e-07,8.6e-07,8.3e-07,8.3e-07,0.1643281148852097,197985.68058459
1662508800000,2022-09-07 00:00:00,EXM/BTC,8.5e-07,8.6e-07,8.4e-07,8.4e-07,0.1303036317719976,155123.37115714
1662422400000,2022-09-06 00:00:00,EXM/BTC,8.3e-07,8.5e-07,8.2e-07,8.5e-07,0.302526612265208,355913.66148848
1662336000000,2022-09-05 00:00:00,EXM/BTC,8.3e-07,8.4e-07,8.2e-07,8.2e-07,0.0934665056502052,113983.54347586
1662249600000,2022-09-04 00:00:00,EXM/BTC,8.2e-07,8.3e-07,8.1e-07,8.2e-07,0.0860714979578154,104965.24141197
1662163200000,2022-09-03 00:00:00,EXM/BTC,8.2e-07,8.2e-07,8.1e-07,8.1e-07,0.041837591143637096,51651.34709091
1662076800000,2022-09-02 00:00:00,EXM/BTC,8.2e-07,8.3e-07,8.1e-07,8.1e-07,0.0968219260555833,119533.24204393
1661990400000,2022-09-01 00:00:00,EXM/BTC,8.1e-07,8.3e-07,8e-07,8.2e-07,0.2600134944712144,317089.62740392
1661904000000,2022-08-31 00:00:00,EXM/BTC,8.2e-07,8.4e-07,7.9e-07,8.1e-07,0.24804436306957467,306227.60872787
1661817600000,2022-08-30 00:00:00,EXM/BTC,8.3e-07,8.4e-07,8.2e-07,8.3e-07,0.2563070468707629,308803.67092863
1661731200000,2022-08-29 00:00:00,EXM/BTC,8.2e-07,8.4e-07,8.2e-07,8.3e-07,0.1040530406592981,125365.10922807
1661644800000,2022-08-28 00:00:00,EXM/BTC,8.4e-07,8.5e-07,8.1e-07,8.3e-07,0.7264175425170939,875201.85845433
1661558400000,2022-08-27 00:00:00,EXM/BTC,8.4e-07,8.5e-07,8.3e-07,8.3e-07,0.0908471040947489,109454.34228283
1661472000000,2022-08-26 00:00:00,EXM/BTC,8.3e-07,8.5e-07,8.1e-07,8.4e-07,0.21445409775069002,255302.49732225
1661385600000,2022-08-25 00:00:00,EXM/BTC,8.1e-07,8.3e-07,7.9e-07,8.2e-07,0.49921156015733864,608794.58555773
