https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ALGO
1663545600000,2022-09-19 00:00:00,ALGO/USDT,0.29288207,0.30058753,0.29275091,0.30042956,11147.900088856706,37106.53535177
1663459200000,2022-09-18 00:00:00,ALGO/USDT,0.31144334,0.31720647,0.28983825,0.29317804,223656.01132512727,762867.54398497
1663372800000,2022-09-17 00:00:00,ALGO/USDT,0.29810682,0.31164032,0.29763953,0.31080524,243524.76889298746,783528.51738596
1663286400000,2022-09-16 00:00:00,ALGO/USDT,0.29502061,0.30016974,0.29000002,0.29793122,226352.06414920135,759746.0385293
1663200000000,2022-09-15 00:00:00,ALGO/USDT,0.30302346,0.30302346,0.28882487,0.29416076,221923.67981372977,754429.9240107
1663113600000,2022-09-14 00:00:00,ALGO/USDT,0.29664885,0.30440041,0.2960649,0.30300758,194777.1833153856,642812.90690941
1663027200000,2022-09-13 00:00:00,ALGO/USDT,0.32233333,0.32233333,0.29478842,0.29643929,207909.10534139423,701354.7540928
1662940800000,2022-09-12 00:00:00,ALGO/USDT,0.32668933,0.331731,0.317598,0.32364429,255501.80918424545,789452.54737615
1662854400000,2022-09-11 00:00:00,ALGO/USDT,0.32200405,0.33011598,0.3171368,0.32625063,251481.15380297386,770821.97144868
1662768000000,2022-09-10 00:00:00,ALGO/USDT,0.32426766,0.32751068,0.31676912,0.32207626,245260.82032253488,761499.21860908
1662681600000,2022-09-09 00:00:00,ALGO/USDT,0.30759817,0.32590811,0.30759817,0.32521898,262358.8763719701,806714.52930567
1662595200000,2022-09-08 00:00:00,ALGO/USDT,0.29925214,0.30773908,0.29317376,0.30754361,231062.03628221696,751314.70389587
1662508800000,2022-09-07 00:00:00,ALGO/USDT,0.2840536,0.30166494,0.28184032,0.29906749,230432.79737778922,770504.33458277
1662422400000,2022-09-06 00:00:00,ALGO/USDT,0.30491179,0.3096725,0.28144263,0.28533898,219207.63689338914,768235.86070641
1662336000000,2022-09-05 00:00:00,ALGO/USDT,0.31240384,0.31414862,0.29756397,0.3047208,241968.62945285492,794066.66513364
1662249600000,2022-09-04 00:00:00,ALGO/USDT,0.30309677,0.31829178,0.30298401,0.31262853,245551.35506985863,785441.28736382
1662163200000,2022-09-03 00:00:00,ALGO/USDT,0.30213698,0.30348432,0.29529666,0.30316616,230128.79346216892,759084.6995
1662076800000,2022-09-02 00:00:00,ALGO/USDT,0.29373493,0.30669289,0.29006708,0.30251712,233259.7542405773,771062.98724706
1661990400000,2022-09-01 00:00:00,ALGO/USDT,0.2880995,0.29371274,0.28351542,0.29369344,223736.4575729455,761802.7068393
1661904000000,2022-08-31 00:00:00,ALGO/USDT,0.29201516,0.3005,0.287419,0.28820549,220590.30027391785,765392.42980388
1661817600000,2022-08-30 00:00:00,ALGO/USDT,0.29824415,0.30190226,0.28433999,0.29145878,225319.04192655886,773073.44087064
1661731200000,2022-08-29 00:00:00,ALGO/USDT,0.28255804,0.29914635,0.28040718,0.29824285,244097.6169655299,818452.53613131
1661644800000,2022-08-28 00:00:00,ALGO/USDT,0.28889097,0.29539676,0.28162691,0.28188411,219190.5975061025,777591.17924775
1661558400000,2022-08-27 00:00:00,ALGO/USDT,0.28265594,0.29009373,0.27928238,0.289002,222407.75853824677,769571.69340782
1661472000000,2022-08-26 00:00:00,ALGO/USDT,0.30741434,0.30759748,0.28030461,0.28274574,218142.20555362388,771513.67710659
1661385600000,2022-08-25 00:00:00,ALGO/USDT,0.30242104,0.30977972,0.2999,0.30746334,233902.39226822293,760748.88234878
1661299200000,2022-08-24 00:00:00,ALGO/USDT,0.30792255,0.30913294,0.29878225,0.30240111,235440.42945911712,778569.99089427
1661212800000,2022-08-23 00:00:00,ALGO/USDT,0.30282749,0.30960075,0.29326863,0.30745276,238167.68770492557,774648.07180435
1661126400000,2022-08-22 00:00:00,ALGO/USDT,0.30683959,0.30683959,0.29046461,0.30296299,246655.51775855344,814144.05686501
1661040000000,2022-08-21 00:00:00,ALGO/USDT,0.30045248,0.30901099,0.29789266,0.30654242,236435.80260339612,771298.80622524
1660953600000,2022-08-20 00:00:00,ALGO/USDT,0.3037687,0.31262323,0.29438876,0.30013118,236859.8858335043,789187.86723027
1660867200000,2022-08-19 00:00:00,ALGO/USDT,0.33350838,0.33350838,0.30058245,0.3038071,249615.0226891249,821623.4007998
1660780800000,2022-08-18 00:00:00,ALGO/USDT,0.34013209,0.34773508,0.32676863,0.33315298,255571.0630836218,767128.25166271
