https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LIKE,Volume USDT
1663459200,2022-09-18 00:00:00,LIKE/USDT,0.010867,0.010886,0.010637,0.010722,230141.4987,2467.4459065423
1663455600,2022-09-17 23:00:00,LIKE/USDT,0.010791,0.010958,0.010718,0.010885,176797.9561,1915.5452274051
1663452000,2022-09-17 22:00:00,LIKE/USDT,0.010872,0.010999,0.010697,0.010776,470679.8773,5112.3710548415
1663448400,2022-09-17 21:00:00,LIKE/USDT,0.011131,0.01115,0.010675,0.010889,675880.3073,7339.6974893702
1663444800,2022-09-17 20:00:00,LIKE/USDT,0.010897,0.011399,0.010768,0.011132,1128772.8065,12473.8043797284
1663441200,2022-09-17 19:00:00,LIKE/USDT,0.010252,0.01107,0.010249,0.010895,1499610.0721,15904.8512503375
1663437600,2022-09-17 18:00:00,LIKE/USDT,0.010066,0.010677,0.010061,0.01025,1442599.0284,14937.1828808464
1663434000,2022-09-17 17:00:00,LIKE/USDT,0.010108,0.010156,0.010001,0.010065,251787.7649,2546.010001444
1663430400,2022-09-17 16:00:00,LIKE/USDT,0.010075,0.010151,0.010066,0.010141,159446.2952,1609.8823494599
1663426800,2022-09-17 15:00:00,LIKE/USDT,0.010086,0.010111,0.010026,0.010077,193719.7415,1952.0367233672
1663423200,2022-09-17 14:00:00,LIKE/USDT,0.010033,0.010126,0.009988,0.01009,260098.4638,2622.5332125686
1663419600,2022-09-17 13:00:00,LIKE/USDT,0.010054,0.010104,0.009937,0.01005,247890.8661,2493.2563968907
1663416000,2022-09-17 12:00:00,LIKE/USDT,0.009974,0.010112,0.009914,0.010056,357776.7825,3586.4453291865
1663412400,2022-09-17 11:00:00,LIKE/USDT,0.010045,0.010078,0.009966,0.009974,206989.1153,2074.355972439
1663408800,2022-09-17 10:00:00,LIKE/USDT,0.010015,0.010078,0.010007,0.010054,276435.4448,2773.9427146368
1663405200,2022-09-17 09:00:00,LIKE/USDT,0.009943,0.010082,0.009936,0.010024,246168.6308,2462.0665757142
1663401600,2022-09-17 08:00:00,LIKE/USDT,0.009856,0.010133,0.009821,0.009951,304285.9325,3022.9907261868
1663398000,2022-09-17 07:00:00,LIKE/USDT,0.009909,0.009921,0.009831,0.009861,117629.4225,1161.2438099124
1663394400,2022-09-17 06:00:00,LIKE/USDT,0.009844,0.009962,0.009827,0.009915,254790.5641,2519.2533371137
1663390800,2022-09-17 05:00:00,LIKE/USDT,0.009777,0.009844,0.00976,0.009844,277234.884,2712.8511116546
1663387200,2022-09-17 04:00:00,LIKE/USDT,0.009819,0.009831,0.009743,0.009775,382382.4703,3743.0632121041
1663383600,2022-09-17 03:00:00,LIKE/USDT,0.00985,0.009867,0.009813,0.00983,450519.2707,4430.4629127856
1663380000,2022-09-17 02:00:00,LIKE/USDT,0.009849,0.009861,0.009833,0.009851,274439.1769,2702.2411482987
1663376400,2022-09-17 01:00:00,LIKE/USDT,0.009852,0.009921,0.009807,0.009852,309616.1681,3053.7193248424
1663372800,2022-09-17 00:00:00,LIKE/USDT,0.009853,0.009866,0.009837,0.009852,377170.6809,3714.4557756821
1663369200,2022-09-16 23:00:00,LIKE/USDT,0.009875,0.009877,0.00981,0.009864,335635.672,3307.1866067197
1663365600,2022-09-16 22:00:00,LIKE/USDT,0.009853,0.009908,0.009809,0.009871,210231.4941,2073.1801899869
1663362000,2022-09-16 21:00:00,LIKE/USDT,0.009831,0.009874,0.009768,0.009856,243792.6498,2397.1278134347
1663358400,2022-09-16 20:00:00,LIKE/USDT,0.00984,0.009897,0.00983,0.00983,518180.5285,5096.7423535754
1663354800,2022-09-16 19:00:00,LIKE/USDT,0.009706,0.009923,0.009706,0.009848,282717.7048,2778.6987847539
1663351200,2022-09-16 18:00:00,LIKE/USDT,0.00968,0.009876,0.009648,0.009764,372393.2393,3636.6081513564
1663347600,2022-09-16 17:00:00,LIKE/USDT,0.009862,0.009882,0.009676,0.009683,236483.2843,2315.4367156579
1663344000,2022-09-16 16:00:00,LIKE/USDT,0.009767,0.009899,0.009747,0.009872,208508.4444,2050.1802043466
1663340400,2022-09-16 15:00:00,LIKE/USDT,0.009718,0.009793,0.009643,0.009761,165907.3226,1612.4704967067
1663336800,2022-09-16 14:00:00,LIKE/USDT,0.009797,0.009798,0.009611,0.009715,250006.0046,2428.6002852781
1663333200,2022-09-16 13:00:00,LIKE/USDT,0.009656,0.009812,0.009606,0.009755,275191.4578,2677.6948075083
1663329600,2022-09-16 12:00:00,LIKE/USDT,0.009852,0.009859,0.009608,0.00967,284948.3584,2775.2500263141
1663326000,2022-09-16 11:00:00,LIKE/USDT,0.009875,0.009997,0.00985,0.009855,366977.4203,3636.3621376422
1663322400,2022-09-16 10:00:00,LIKE/USDT,0.009948,0.009948,0.009876,0.009876,276015.1074,2733.8785232208
1663318800,2022-09-16 09:00:00,LIKE/USDT,0.009854,0.009969,0.00985,0.009925,279612.5763,2764.0826412926
1663315200,2022-09-16 08:00:00,LIKE/USDT,0.009858,0.009871,0.00985,0.009854,229910.8729,2266.8478827759
1663311600,2022-09-16 07:00:00,LIKE/USDT,0.009864,0.009894,0.00985,0.009857,105882.5545,1044.2656628139
1663308000,2022-09-16 06:00:00,LIKE/USDT,0.009887,0.009942,0.00985,0.009868,162481.815,1603.6572503862
1663304400,2022-09-16 05:00:00,LIKE/USDT,0.009941,0.009977,0.009857,0.009903,234734.6276,2330.4016788152
1663300800,2022-09-16 04:00:00,LIKE/USDT,0.009885,0.009961,0.009885,0.009929,177342.5336,1759.0936198746
1663297200,2022-09-16 03:00:00,LIKE/USDT,0.009896,0.009959,0.009829,0.009904,206033.5864,2039.4507892187
1663293600,2022-09-16 02:00:00,LIKE/USDT,0.009886,0.009926,0.009789,0.009899,276603.1596,2728.716297163
1663290000,2022-09-16 01:00:00,LIKE/USDT,0.009889,0.009891,0.009867,0.009886,394217.4799,3896.0310330857
1663286400,2022-09-16 00:00:00,LIKE/USDT,0.009918,0.009973,0.009888,0.00989,377173.8572,3744.7719204631
1663282800,2022-09-15 23:00:00,LIKE/USDT,0.009888,0.009957,0.009865,0.009928,231861.1141,2296.9142463736
1663279200,2022-09-15 22:00:00,LIKE/USDT,0.009973,0.010027,0.009877,0.00988,255103.9435,2539.7470050706
1663275600,2022-09-15 21:00:00,LIKE/USDT,0.010004,0.010045,0.00982,0.009919,384853.724,3815.41465468
1663272000,2022-09-15 20:00:00,LIKE/USDT,0.010033,0.010072,0.009992,0.010002,183401.4807,1839.1706616483
1663268400,2022-09-15 19:00:00,LIKE/USDT,0.010198,0.010198,0.00996,0.010025,326693.3703,3294.4737899339
1663264800,2022-09-15 18:00:00,LIKE/USDT,0.010218,0.010262,0.010198,0.010198,227273.3183,2324.6174392184
1663261200,2022-09-15 17:00:00,LIKE/USDT,0.010211,0.010251,0.01005,0.010251,354171.9905,3598.3463633403
1663257600,2022-09-15 16:00:00,LIKE/USDT,0.010276,0.010276,0.010025,0.010242,522186.423,5308.6532162201
1663254000,2022-09-15 15:00:00,LIKE/USDT,0.010269,0.010348,0.009812,0.010259,406751.1663,4173.3608097325
1663250400,2022-09-15 14:00:00,LIKE/USDT,0.010359,0.010399,0.010166,0.010272,208022.1332,2144.5885558702
1663246800,2022-09-15 13:00:00,LIKE/USDT,0.010363,0.010417,0.0103,0.010335,205204.1306,2124.6997402362
1663243200,2022-09-15 12:00:00,LIKE/USDT,0.010359,0.01042,0.010331,0.010362,162860.7274,1688.639005203
1663239600,2022-09-15 11:00:00,LIKE/USDT,0.010378,0.010478,0.01028,0.010352,242347.8945,2513.2303314335
1663236000,2022-09-15 10:00:00,LIKE/USDT,0.01057,0.01057,0.010012,0.010333,429487.3285,4454.0814958373
1663232400,2022-09-15 09:00:00,LIKE/USDT,0.010606,0.010746,0.010498,0.0106,305654.8571,3251.6575788796
1663228800,2022-09-15 08:00:00,LIKE/USDT,0.010838,0.010869,0.010332,0.010603,406538.7247,4365.2793659692
1663225200,2022-09-15 07:00:00,LIKE/USDT,0.01086,0.01086,0.010797,0.010835,219468.5209,2376.6319925633
1663221600,2022-09-15 06:00:00,LIKE/USDT,0.01075,0.010854,0.010736,0.010846,161201.1005,1739.3278099074
