https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT
1663462800,2022-09-18 01:00:00,LINK/USDT,8.0318,8.0795,8.0243,8.0449,1529.87101251,12319.197158197885
1663459200,2022-09-18 00:00:00,LINK/USDT,8.0933,8.1425,7.9707,8.0311,62061.2744662,501788.77042691958
1663455600,2022-09-17 23:00:00,LINK/USDT,8.0767,8.148,8.0597,8.0913,43067.81162081,349221.821363858521
1663452000,2022-09-17 22:00:00,LINK/USDT,7.9534,8.0766,7.9336,8.0742,25000.72624247,199807.589126378769
1663448400,2022-09-17 21:00:00,LINK/USDT,8.0586,8.0764,7.9501,7.9579,20575.48723809,164749.258665974115
1663444800,2022-09-17 20:00:00,LINK/USDT,8.0276,8.083,8.0092,8.0635,14899.32250248,119800.921210467716
1663441200,2022-09-17 19:00:00,LINK/USDT,7.987,8.0433,7.9512,8.0214,20060.1179823,160163.316751011882
1663437600,2022-09-17 18:00:00,LINK/USDT,7.9798,8.0095,7.961,7.9826,7179.01136633,57299.430092702271
1663434000,2022-09-17 17:00:00,LINK/USDT,7.9987,8.0867,7.9604,7.9721,31996.51474771,256871.898034769441
1663430400,2022-09-17 16:00:00,LINK/USDT,7.9071,8.1067,7.9054,7.9967,86584.91274108,691999.51530621198
1663426800,2022-09-17 15:00:00,LINK/USDT,7.9542,7.9759,7.903,7.9063,30952.31127769,245646.599231762187
1663423200,2022-09-17 14:00:00,LINK/USDT,7.8634,7.9659,7.8576,7.9542,57873.50617441,458436.442135950683
1663419600,2022-09-17 13:00:00,LINK/USDT,7.8692,7.8751,7.8266,7.866,14595.85679585,114567.838987683751
1663416000,2022-09-17 12:00:00,LINK/USDT,7.8419,7.9187,7.8354,7.8693,27768.84586163,218816.493616237748
1663412400,2022-09-17 11:00:00,LINK/USDT,7.8978,7.905,7.8371,7.8371,24819.89619076,195337.769643780864
1663408800,2022-09-17 10:00:00,LINK/USDT,7.9897,7.9897,7.871,7.9014,16132.88495324,127622.800134612187
1663405200,2022-09-17 09:00:00,LINK/USDT,7.9436,8.0117,7.9066,7.9873,18739.83626865,149091.266015567182
1663401600,2022-09-17 08:00:00,LINK/USDT,7.9992,8.0408,7.9326,7.942,33451.94800355,266978.890411615978
1663398000,2022-09-17 07:00:00,LINK/USDT,8.001,8.074,7.9717,8.0004,36921.02013634,295844.44366247977
1663394400,2022-09-17 06:00:00,LINK/USDT,7.956,8.0154,7.9481,7.994,33554.40950133,267779.021143820949
1663390800,2022-09-17 05:00:00,LINK/USDT,7.8554,7.992,7.8012,7.9588,37698.67224337,298322.206105033671
