https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/USDT,19458.09,19499.02,19449.72,19485.6,11203.320544704,0.57495384
1663545600000,2022-09-19 00:00:00,BTC/USDT,19412.7,19508.31,19392.95,19458.3,28773.094063152,1.47870544
1663542000000,2022-09-18 23:00:00,BTC/USDT,19432.25,19519.5,19383.33,19420.0,35134.2113198,1.80917669
1663538400000,2022-09-18 22:00:00,BTC/USDT,19464.76,19475.58,19338.08,19441.99,62780.45459023301,3.2291167
1663534800000,2022-09-18 21:00:00,BTC/USDT,19712.17,19722.97,19415.95,19467.88,79199.45368597761,4.06821152
1663531200000,2022-09-18 20:00:00,BTC/USDT,19722.81,19745.35,19681.7,19713.0,23951.68709157,1.21501989
1663527600000,2022-09-18 19:00:00,BTC/USDT,19629.15,19731.0,19602.49,19730.35,28127.536450303996,1.42559744
1663524000000,2022-09-18 18:00:00,BTC/USDT,19634.16,19706.61,19582.93,19636.0,37419.77362476,1.90567191
1663520400000,2022-09-18 17:00:00,BTC/USDT,19732.48,19745.87,19606.37,19627.7,55348.429550786,2.81991418
1663516800000,2022-09-18 16:00:00,BTC/USDT,19815.48,19874.83,19629.6,19734.39,50781.504661395295,2.57324927
1663513200000,2022-09-18 15:00:00,BTC/USDT,19808.11,19865.49,19783.25,19813.6,27604.213801672,1.39319527
1663509600000,2022-09-18 14:00:00,BTC/USDT,19960.0,19960.0,19750.0,19792.57,73918.08265418009,3.73463793
1663506000000,2022-09-18 13:00:00,BTC/USDT,19994.72,20010.72,19957.08,19967.0,68289.96952356999,3.42014171
1663502400000,2022-09-18 12:00:00,BTC/USDT,19930.0,20025.97,19872.66,19997.01,86122.10002090859,4.30674886
1663498800000,2022-09-18 11:00:00,BTC/USDT,19917.4,19945.36,19900.0,19930.0,54912.6680191,2.75527687
1663495200000,2022-09-18 10:00:00,BTC/USDT,19826.24,20043.45,19780.97,19905.37,69775.72565237149,3.50537195
1663491600000,2022-09-18 09:00:00,BTC/USDT,20053.54,20079.0,19833.92,19833.92,80138.9065552704,4.04049762
1663488000000,2022-09-18 08:00:00,BTC/USDT,20054.52,20091.53,20029.03,20043.57,24921.4389381096,1.24336328
1663484400000,2022-09-18 07:00:00,BTC/USDT,20049.0,20094.0,20043.0,20053.75,33875.694111225,1.68924486
1663480800000,2022-09-18 06:00:00,BTC/USDT,20072.08,20092.59,20036.3,20036.3,23239.328364101,1.15986127
1663477200000,2022-09-18 05:00:00,BTC/USDT,20010.02,20084.18,19996.0,20069.12,25519.694307712,1.2715901
1663473600000,2022-09-18 04:00:00,BTC/USDT,19995.9,20030.12,19964.7,20015.36,29158.815785152,1.45682195
1663470000000,2022-09-18 03:00:00,BTC/USDT,20031.46,20031.46,19952.04,19995.48,46268.964650221205,2.31397119
1663466400000,2022-09-18 02:00:00,BTC/USDT,19997.87,20041.97,19992.45,20031.23,21992.7289053092,1.09792204
1663462800000,2022-09-18 01:00:00,BTC/USDT,19986.04,20047.49,19977.14,19994.12,24527.7823112936,1.22674978
1663459200000,2022-09-18 00:00:00,BTC/USDT,20112.84,20116.3,19959.05,19977.63,29838.7825503399,1.49360973
1663455600000,2022-09-17 23:00:00,BTC/USDT,20123.67,20135.0,20100.98,20113.99,26699.0522635083,1.32738717
1663452000000,2022-09-17 22:00:00,BTC/USDT,20043.96,20125.14,20027.47,20121.17,25670.206584981697,1.27578101
1663448400000,2022-09-17 21:00:00,BTC/USDT,20076.76,20088.47,19905.36,20025.32,102046.145071388,5.0958559
1663444800000,2022-09-17 20:00:00,BTC/USDT,20015.38,20088.78,19987.35,20076.21,27654.862431457797,1.37749418
1663441200000,2022-09-17 19:00:00,BTC/USDT,20075.3,20075.3,19990.0,20009.01,53733.8187849813,2.68548113
1663437600000,2022-09-17 18:00:00,BTC/USDT,20076.32,20097.32,20035.37,20074.52,27904.411877676,1.3900413
1663434000000,2022-09-17 17:00:00,BTC/USDT,20131.6,20172.97,20042.03,20078.0,29951.30469876,1.49174742
