https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRAC,Volume BTC
1663459200,2022-09-18 00:00:00,TRAC/BTC,0.00001002,0.00001006,0.00000997,0.00000998,2422.2578,0.024230136193
1663372800,2022-09-17 00:00:00,TRAC/BTC,0.00000967,0.00001001,0.00000945,0.00001001,61968.1819,0.6010757799
1663286400,2022-09-16 00:00:00,TRAC/BTC,0.00000964,0.00001,0.00000927,0.00000964,241052.943,2.323146600229
1663200000,2022-09-15 00:00:00,TRAC/BTC,0.00000974,0.00001,0.00000954,0.00000962,96673.3929,0.94258390982
1663113600,2022-09-14 00:00:00,TRAC/BTC,0.00000983,0.0000101,0.00000943,0.00000972,187680.9734,1.817402512034
1663027200,2022-09-13 00:00:00,TRAC/BTC,0.00000924,0.00001,0.00000888,0.00000985,323678.2393,3.040996935625
1662940800,2022-09-12 00:00:00,TRAC/BTC,0.00000989,0.00000996,0.00000923,0.00000924,97462.9083,0.935092028027
1662854400,2022-09-11 00:00:00,TRAC/BTC,0.00000972,0.00001015,0.00000972,0.00000984,71167.1542,0.710308404407
1662768000,2022-09-10 00:00:00,TRAC/BTC,0.00001,0.0000102,0.00000969,0.00000975,236301.8477,2.360851670854
1662681600,2022-09-09 00:00:00,TRAC/BTC,0.00001055,0.00001058,0.00000986,0.00001,74762.9211,0.758682642373
1662595200,2022-09-08 00:00:00,TRAC/BTC,0.00001047,0.00001061,0.00001014,0.00001056,116614.2865,1.216850260531
1662508800,2022-09-07 00:00:00,TRAC/BTC,0.00001068,0.00001072,0.00001027,0.00001047,182618.948,1.920524296923
1662422400,2022-09-06 00:00:00,TRAC/BTC,0.0000105,0.00001092,0.00001033,0.00001068,242538.7814,2.567687426989
1662336000,2022-09-05 00:00:00,TRAC/BTC,0.00001023,0.00001121,0.00001018,0.00001052,256128.1631,2.737380826588
1662249600,2022-09-04 00:00:00,TRAC/BTC,0.0000107,0.00001092,0.00001016,0.00001021,250876.4096,2.632771697515
1662163200,2022-09-03 00:00:00,TRAC/BTC,0.00001113,0.0000112,0.00001031,0.00001071,435851.4076,4.6598953114
1662076800,2022-09-02 00:00:00,TRAC/BTC,0.00001128,0.00001128,0.00001098,0.00001117,123713.4103,1.372297091225
1661990400,2022-09-01 00:00:00,TRAC/BTC,0.00001085,0.00001169,0.00001084,0.00001127,501669.0011,5.631544827848
1661904000,2022-08-31 00:00:00,TRAC/BTC,0.00001109,0.00001121,0.00001072,0.00001088,123641.1055,1.360536150533
1661817600,2022-08-30 00:00:00,TRAC/BTC,0.00001095,0.00001143,0.00001088,0.00001106,330927.6616,3.698926766608
1661731200,2022-08-29 00:00:00,TRAC/BTC,0.00001087,0.00001105,0.00001051,0.00001094,163212.4713,1.764228345862
1661644800,2022-08-28 00:00:00,TRAC/BTC,0.00001094,0.00001128,0.0000107,0.0000109,60261.3698,0.660195389854
