https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JST,Volume USDT
1663462800,2022-09-18 01:00:00,JST/USDT,0.02649839,0.0264984,0.02646655,0.02646655,88469.3566,2343.036109041462
1663459200,2022-09-18 00:00:00,JST/USDT,0.02660285,0.02661543,0.02640856,0.02650052,472372.2868,12507.980757246225
1663455600,2022-09-17 23:00:00,JST/USDT,0.02657676,0.02666967,0.02657043,0.0266137,582105.9668,15488.970517006481
1663452000,2022-09-17 22:00:00,JST/USDT,0.02644533,0.02658967,0.02644533,0.02657675,543392.3664,14416.371884151828
1663448400,2022-09-17 21:00:00,JST/USDT,0.02658485,0.02658646,0.02646522,0.02646918,202977.023,5384.874382085894
1663444800,2022-09-17 20:00:00,JST/USDT,0.02642809,0.02658485,0.0264178,0.02658484,494455.8576,13089.441172549895
1663441200,2022-09-17 19:00:00,JST/USDT,0.0264965,0.0264965,0.02640427,0.02643143,550702.893,14555.20691175137
1663437600,2022-09-17 18:00:00,JST/USDT,0.02651345,0.02656293,0.02648282,0.02653027,388504.3244,10304.243949958591
1663434000,2022-09-17 17:00:00,JST/USDT,0.02655292,0.02659313,0.02649124,0.02651531,515695.5811,13688.392823469167
1663430400,2022-09-17 16:00:00,JST/USDT,0.02649198,0.02656621,0.02648547,0.02655226,537302.8718,14251.053842148149
1663426800,2022-09-17 15:00:00,JST/USDT,0.02652593,0.02653129,0.02645935,0.02648276,348519.0697,9234.191334065226
1663423200,2022-09-17 14:00:00,JST/USDT,0.02639398,0.02652646,0.02638811,0.02652592,376852.9367,9970.744897839376
1663419600,2022-09-17 13:00:00,JST/USDT,0.02644456,0.02645625,0.02637532,0.02641094,649262.5871,17154.28021030381
1663416000,2022-09-17 12:00:00,JST/USDT,0.026386,0.02646375,0.02637643,0.02643414,551917.6546,14584.065980352404
1663412400,2022-09-17 11:00:00,JST/USDT,0.02636414,0.02640556,0.02635302,0.02640116,144583.9061,3814.216847338437
1663408800,2022-09-17 10:00:00,JST/USDT,0.02641953,0.0264408,0.02632041,0.0263679,579761.5844,15290.030114146467
