https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BADGER,Volume USDT
1663462800,2022-09-18 01:00:00,BADGER/USDT,4.1916,4.1916,4.1916,4.1916,25.277,105.9510732
1663459200,2022-09-18 00:00:00,BADGER/USDT,4.1946,4.205,4.1824,4.1824,83.9977,352.81239277
1663455600,2022-09-17 23:00:00,BADGER/USDT,4.1859,4.2067,4.1717,4.2056,12.9417,54.37612659
1663452000,2022-09-17 22:00:00,BADGER/USDT,4.1952,4.1952,4.1952,4.1952,2.4735,10.3768272
1663448400,2022-09-17 21:00:00,BADGER/USDT,4.1824,4.1985,4.1724,4.1968,424.0101,1772.55613526
1663444800,2022-09-17 20:00:00,BADGER/USDT,4.1768,4.1792,4.1653,4.1653,155.4388,648.41942816
1663441200,2022-09-17 19:00:00,BADGER/USDT,4.1988,4.1988,4.1725,4.1888,12.2772,51.23374729
1663437600,2022-09-17 18:00:00,BADGER/USDT,4.2121,4.2121,4.1868,4.1987,60.2409,252.40540247
1663434000,2022-09-17 17:00:00,BADGER/USDT,4.2199,4.242,4.2123,4.2124,293.3376,1240.3197157
1663430400,2022-09-17 16:00:00,BADGER/USDT,4.2019,4.2121,4.2019,4.2121,63.8917,268.89300365
1663426800,2022-09-17 15:00:00,BADGER/USDT,4.1567,4.1726,4.1567,4.1726,28.5181,118.5480995
1663423200,2022-09-17 14:00:00,BADGER/USDT,4.155,4.1907,4.1524,4.1526,51.6592,215.46134407
1663419600,2022-09-17 13:00:00,BADGER/USDT,4.1099,4.2551,4.1099,4.1607,528.5172,2227.83814657
1663416000,2022-09-17 12:00:00,BADGER/USDT,4.0926,4.1125,4.0827,4.0828,59.2671,243.25019746
1663412400,2022-09-17 11:00:00,BADGER/USDT,4.0579,4.0949,4.0579,4.0925,86.664,353.4685158
1663408800,2022-09-17 10:00:00,BADGER/USDT,4.0415,4.0579,4.0415,4.0579,0.912,3.69280652
1663405200,2022-09-17 09:00:00,BADGER/USDT,4.0673,4.0673,4.0426,4.0426,0.0683,0.27686293
1663401600,2022-09-17 08:00:00,BADGER/USDT,4.0532,4.0648,4.0532,4.0648,0.623,2.52919768
1663398000,2022-09-17 07:00:00,BADGER/USDT,4.0681,4.0681,4.0429,4.0516,111.4079,450.69234303
1663394400,2022-09-17 06:00:00,BADGER/USDT,4.1058,4.1058,4.0828,4.0828,41.3125,168.90615521
1663390800,2022-09-17 05:00:00,BADGER/USDT,4.1126,4.113,4.0856,4.0909,45.7004,187.64916044
