https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSHI,Volume EUR
1663545600,2022-09-19 00:00:00,SUSHI/EUR,1.02743,1.02743,1.02743,1.02743,111.69977980,114.763704759914
1663459200,2022-09-18 00:00:00,SUSHI/EUR,1.15685,1.15685,1.00000,1.02164,4973.53659966,5081.163931676643
1663372800,2022-09-17 00:00:00,SUSHI/EUR,1.12954,1.15737,1.12105,1.15694,3175.13719168,3673.4432225422593
1663286400,2022-09-16 00:00:00,SUSHI/EUR,1.12559,1.14402,1.11240,1.13461,9377.05587776,10639.301369465273
1663200000,2022-09-15 00:00:00,SUSHI/EUR,1.17139,1.17139,1.10733,1.10733,4768.10824856,5279.869306877945
1663113600,2022-09-14 00:00:00,SUSHI/EUR,1.20040,1.20040,1.16232,1.18906,2662.92284487,3166.3750379211224
1663027200,2022-09-13 00:00:00,SUSHI/EUR,1.23393,1.25953,1.18548,1.19503,23688.24262898,28308.16058890997
1662940800,2022-09-12 00:00:00,SUSHI/EUR,1.25977,1.32826,1.24804,1.25179,7245.43331894,9069.760974315903
1662854400,2022-09-11 00:00:00,SUSHI/EUR,1.34588,1.35501,1.27130,1.27454,13992.59922645,17834.127418079584
1662768000,2022-09-10 00:00:00,SUSHI/EUR,1.32212,1.35913,1.28978,1.34012,10612.05616907,14221.428713294088
1662681600,2022-09-09 00:00:00,SUSHI/EUR,1.29733,1.34514,1.28922,1.32181,22345.93038610,29537.07424365084
1662595200,2022-09-08 00:00:00,SUSHI/EUR,1.25974,1.32635,1.19218,1.31309,41278.10961130,54201.87294950192
1662508800,2022-09-07 00:00:00,SUSHI/EUR,1.12348,1.25562,1.09711,1.25206,27880.67320062,34908.275687568275
1662422400,2022-09-06 00:00:00,SUSHI/EUR,1.24538,1.25694,1.14429,1.16698,23163.65976380,27031.52767115932
1662336000,2022-09-05 00:00:00,SUSHI/EUR,1.16387,1.24642,1.13432,1.23774,40281.82888038,49858.430878401545
1662249600,2022-09-04 00:00:00,SUSHI/EUR,1.14638,1.16221,1.11967,1.15413,10971.21006004,12662.202666593967
1662163200,2022-09-03 00:00:00,SUSHI/EUR,1.11971,1.13388,1.09569,1.12667,6202.02624463,6987.636909037283
1662076800,2022-09-02 00:00:00,SUSHI/EUR,1.06611,1.14052,1.05690,1.11543,22035.37693430,24578.920493826245
1661990400,2022-09-01 00:00:00,SUSHI/EUR,1.04458,1.05847,1.01870,1.05847,19359.68223053,20491.64285054909
1661904000,2022-08-31 00:00:00,SUSHI/EUR,1.05053,1.08841,1.04307,1.05187,10577.85147696,11126.524633069917
