https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume IOT
1650848400000,2022-04-25 01:00:00,IOT/EUR,0.58539,0.5915,0.58529,0.5915,549.482172633485,928.96394359
1650844800000,2022-04-25 00:00:00,IOT/EUR,0.60886,0.60887,0.5862,0.5862,1331.92767053352,2272.1386396
1650841200000,2022-04-24 23:00:00,IOT/EUR,0.61158,0.61235,0.61158,0.61235,22.942513213270995,37.46633986
1650837600000,2022-04-24 22:00:00,IOT/EUR,0.6123,0.6131,0.6123,0.6131,42.756120267006004,69.73759626
1650834000000,2022-04-24 21:00:00,IOT/EUR,0.60688,0.6125,0.60688,0.6125,122.9680184285,200.76411172
1650830400000,2022-04-24 20:00:00,IOT/EUR,0.60801,0.6087,0.60726,0.60745,603.2526167261545,993.09015841
1650823200000,2022-04-24 18:00:00,IOT/EUR,0.60587,0.60926706,0.60587,0.60895665,204.43514771840407,335.71379459999997
1650816000000,2022-04-24 16:00:00,IOT/EUR,0.60458,0.60553,0.60458,0.60553,181.658878894,299.9998
1650812400000,2022-04-24 15:00:00,IOT/EUR,0.61299,0.6146,0.61299,0.61359,383.77119701484355,625.4521700399999
1650808800000,2022-04-24 14:00:00,IOT/EUR,0.6159,0.6171,0.60928,0.6171,2655.035345458518,4302.43938658
1650805200000,2022-04-24 13:00:00,IOT/EUR,0.6126,0.6159,0.61157,0.6159,3813.2988053159997,6191.42524
1650798000000,2022-04-24 11:00:00,IOT/EUR,0.62329,0.62329,0.6174,0.6174,2198.95455541167,3561.63679205
1650794400000,2022-04-24 10:00:00,IOT/EUR,0.6219,0.6219,0.62176,0.62176,41.3195352837088,66.45576313000001
1650790800000,2022-04-24 09:00:00,IOT/EUR,0.6229,0.6229,0.6229,0.6229,24.096272252081,38.68401389
1650787200000,2022-04-24 08:00:00,IOT/EUR,0.62297,0.62297,0.62145,0.62145,72.89081607346199,117.29152155999999
1650783600000,2022-04-24 07:00:00,IOT/EUR,0.62237,0.62298,0.622,0.622,256.21841189706,411.92670723
1650769200000,2022-04-24 03:00:00,IOT/EUR,0.6207,0.62461,0.6207,0.62461,681.7845755885247,1091.5364396799998
1650765600000,2022-04-24 02:00:00,IOT/EUR,0.62278,0.62278,0.62278,0.62278,62.277937722,99.9999
1650762000000,2022-04-24 01:00:00,IOT/EUR,0.627,0.627,0.6267,0.6267,3133.5,5000.0
1650758400000,2022-04-24 00:00:00,IOT/EUR,0.63083,0.63341,0.63083,0.63268,207.7043577230612,328.29290909
1650754800000,2022-04-23 23:00:00,IOT/EUR,0.63162022,0.63162022,0.62734,0.63125,421.788059665125,668.17910442
1650751200000,2022-04-23 22:00:00,IOT/EUR,0.64188,0.64188,0.6418,0.6418,44.569561473822006,69.44462679
1650744000000,2022-04-23 20:00:00,IOT/EUR,0.63998,0.64329,0.63998,0.64185,811.6903587256367,1264.6106702900001
1650740400000,2022-04-23 19:00:00,IOT/EUR,0.6331,0.6348,0.6331,0.6348,244.48935289362,385.14390815
1650736800000,2022-04-23 18:00:00,IOT/EUR,0.63537,0.63537,0.63502,0.63502,67.671741414802,106.5663151
1650733200000,2022-04-23 17:00:00,IOT/EUR,0.63179,0.63217,0.63053,0.63217,69.99365504824,110.719672
1650729600000,2022-04-23 16:00:00,IOT/EUR,0.63732,0.6375,0.63467,0.63489,203.9488755379584,321.23497856
1650722400000,2022-04-23 14:00:00,IOT/EUR,0.6373,0.6373,0.6373,0.6373,63.73,100.0
