https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RENBTC,Volume USD
1662969600,2022-09-12 08:00:00,RENBTC/USD,21637.1,21637.1,21637.1,21637.1,0.000188,4.0677748
1662310800,2022-09-04 17:00:00,RENBTC/USD,21637,21637,21637,21637,0.002556,55.304172
1661929200,2022-08-31 07:00:00,RENBTC/USD,19275.2,19275.2,19275.2,19275.2,0.001126,21.703875200000002
1661803200,2022-08-29 20:00:00,RENBTC/USD,21637.1,21637.1,21637.1,21637.1,0.000156,3.3753876
1661554800,2022-08-26 23:00:00,RENBTC/USD,20506.7,20506.7,20506.7,20506.7,0.000344,7.054304800000001
1660597200,2022-08-15 21:00:00,RENBTC/USD,25850.0,62500.0,24388.6,24388.6,0.028184,687.3683024
1660564800,2022-08-15 12:00:00,RENBTC/USD,23035.9,23672.6,20762.4,23672.6,0.003935,93.151681
1660510800,2022-08-14 21:00:00,RENBTC/USD,25849.9,25849.9,25849.9,25849.9,0.002,51.6998
1660388400,2022-08-13 11:00:00,RENBTC/USD,23374.9,24014.8,22029.4,24014.8,0.001984,47.6453632
1660356000,2022-08-13 02:00:00,RENBTC/USD,22838.2,24330.8,20885.2,24330.8,0.003897,94.81712759999999
1660276800,2022-08-12 04:00:00,RENBTC/USD,25849.6,25849.6,25849.6,25849.6,0.003,77.5488
1659888000,2022-08-07 16:00:00,RENBTC/USD,25927.9,25928.1,25927.9,25928.1,0.001801,46.6965081
1659596400,2022-08-04 07:00:00,RENBTC/USD,21163.6,22734.4,13223.1,22734.4,0.011394,259.0357536
1658869200,2022-07-26 21:00:00,RENBTC/USD,20548.8,20548.8,20548.8,20548.8,5e-06,0.102744
1658862000,2022-07-26 19:00:00,RENBTC/USD,18883.0,20548.8,13222.1,20548.8,0.007231,148.58837279999997
1658728800,2022-07-25 06:00:00,RENBTC/USD,24249.8,26494.4,22125.8,22125.8,0.007399,163.7087942
1658257200,2022-07-19 19:00:00,RENBTC/USD,21527.5,23248,21527.5,23248,0.000788,18.319423999999998
1657256400,2022-07-08 05:00:00,RENBTC/USD,24556.3,24556.3,24556.3,24556.3,0.00043,10.559209
1655978400,2022-06-23 10:00:00,RENBTC/USD,22846.5,22846.5,22846.5,22846.5,0.0003,6.853949999999999
1655708400,2022-06-20 07:00:00,RENBTC/USD,18217.8,19931.5,13222.1,19931.5,0.015196,302.879074
1655575200,2022-06-18 18:00:00,RENBTC/USD,18500.0,18500.0,18500.0,18500.0,0.001,18.5
1655164800,2022-06-14 00:00:00,RENBTC/USD,22000,22000,22000,22000,0.002,44.0
1655164800,2022-06-14,RENBTC/USD,22000,22000,22000,22000,0.002,44.0
1654999200,2022-06-12 02:00:00,RENBTC/USD,27781.6,27781.6,27781.6,27781.6,0.00021,5.834136
1654794000,2022-06-09 17:00:00,RENBTC/USD,30814.8,30814.8,30814.8,30814.8,5e-06,0.15407400000000002
1654786800,2022-06-09 15:00:00,RENBTC/USD,32755.0,32755.0,30814.8,30814.8,0.00136,41.908128000000005
1653883200,2022-05-30 04:00:00,RENBTC/USD,28272.2,29932.8,21000,29932.8,0.00278,83.213184
1653861600,2022-05-29 22:00:00,RENBTC/USD,27273.4,29078.2,21000,29078.2,0.00547,159.05775400000002
1653350400,2022-05-24,RENBTC/USD,28952,28952,28901.5,28901.5,0.013623,393.72513449999997
1653350400,2022-05-24 00:00:00,RENBTC/USD,28952.0,28952.0,28901.5,28901.5,0.013623,393.72513449999997
1653346800,2022-05-23 23:00:00,RENBTC/USD,28958.3,28958.3,28914.8,28914.8,0.013612,393.5882576
1653343200,2022-05-23 22:00:00,RENBTC/USD,28970.0,28970.0,28899.8,28899.8,0.010275,296.94544499999995
1653339600,2022-05-23 21:00:00,RENBTC/USD,29207.0,29207.0,29207.0,29207.0,0.006747,197.059629
1653336000,2022-05-23 20:00:00,RENBTC/USD,29051.3,29055.2,29051.3,29055.2,0.013549,393.6689048
1653321600,2022-05-23 16:00:00,RENBTC/USD,30129.8,30250.1,30129.8,30150.2,0.026095,786.7694690000001
1653292800,2022-05-23 08:00:00,RENBTC/USD,33005.2,33005.2,33005.2,33005.2,0.000302,9.9675704
1652616000,2022-05-15 12:00:00,RENBTC/USD,29877.6,29877.6,29877.6,29877.6,1e-06,0.029877599999999997
1652475600,2022-05-13 21:00:00,RENBTC/USD,28991.2,29877.6,24802.1,29877.6,0.002497,74.6043672
1652374800,2022-05-12 17:00:00,RENBTC/USD,29283.3,29283.3,29283.3,29283.3,2e-06,0.058566599999999996
1652367600,2022-05-12 15:00:00,RENBTC/USD,26000.5,29283.3,24260.4,29283.3,0.005625,164.7185625
1652338800,2022-05-12 07:00:00,RENBTC/USD,26500.0,26500.0,26500.0,26500.0,0.001,26.5
1652328000,2022-05-12 04:00:00,RENBTC/USD,27850.0,27850.0,27850.0,27850.0,0.001,27.85
1652270400,2022-05-11 12:00:00,RENBTC/USD,29750.0,29750.0,29750.0,29750.0,0.001,29.75
1652148000,2022-05-10 02:00:00,RENBTC/USD,31681.9,31681.9,31681.9,31681.9,0.000314,9.9481166
