https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3L,Volume USDT
1663459200,2022-09-18 00:00:00,GALAX3L/USDT,0.082901,0.082901,0.08026,0.080357,19545.956,1581.5961629244
1663372800,2022-09-17 00:00:00,GALAX3L/USDT,0.077164,0.083871,0.076483,0.083101,448556.6804,35552.7230815224
1663286400,2022-09-16 00:00:00,GALAX3L/USDT,0.073962,0.078247,0.0714,0.077055,394513.7154,29699.7715316747
1663200000,2022-09-15 00:00:00,GALAX3L/USDT,0.082001,0.082001,0.071801,0.073699,578448.9555,44069.4875121598
1663113600,2022-09-14 00:00:00,GALAX3L/USDT,0.078615,0.084,0.0758,0.081316,442810.9892,35658.7291551614
1663027200,2022-09-13 00:00:00,GALAX3L/USDT,0.097848,0.099542,0.075302,0.078608,856270.2479118,74162.660657033408
1662940800,2022-09-12 00:00:00,GALAX3L/USDT,0.10184,0.109,0.091715,0.097288,540802.9358,55074.1555145128
1662854400,2022-09-11 00:00:00,GALAX3L/USDT,0.103035,0.112495,0.093395,0.102396,508160.51752629,51928.67131159163446
1662768000,2022-09-10 00:00:00,GALAX3L/USDT,0.103185,0.109645,0.097672,0.103035,491003.5414,50400.658923558
1662681600,2022-09-09 00:00:00,GALAX3L/USDT,0.087801,0.109081,0.086829,0.103034,1064388.7276,105449.2138817165
1662595200,2022-09-08 00:00:00,GALAX3L/USDT,0.085964,0.08902,0.079345,0.087703,688806.6422,58510.98048106
1662508800,2022-09-07 00:00:00,GALAX3L/USDT,0.078697,0.089726,0.075,0.085947,773019.6525,62882.1403299345
1662422400,2022-09-06 00:00:00,GALAX3L/USDT,0.100938,0.107332,0.075,0.079575,989579.1778,86604.9622413213
1662336000,2022-09-05 00:00:00,GALAX3L/USDT,0.105359,0.108116,0.092032,0.100767,333705.9803,32548.7449631131
1662249600,2022-09-04 00:00:00,GALAX3L/USDT,0.097188,0.1067,0.096062,0.105046,415087.6603,41995.7680355616
1662163200,2022-09-03 00:00:00,GALAX3L/USDT,0.095246,0.099,0.092976,0.097188,163562.3442,15705.0022882406
1662076800,2022-09-02 00:00:00,GALAX3L/USDT,0.0996,0.10481,0.091456,0.095988,715041.7824,70923.75203634
1661990400,2022-09-01 00:00:00,GALAX3L/USDT,0.098804,0.101347,0.088482,0.099616,380657.04173126,36410.12901009012462
1661904000,2022-08-31 00:00:00,GALAX3L/USDT,0.101271,0.109999,0.096615,0.098353,252756.55923146,26133.8300598940453
1661817600,2022-08-30 00:00:00,GALAX3L/USDT,0.110833,0.11583,0.092151,0.101051,784603.14070022,80643.80524392118938
1661731200,2022-08-29 00:00:00,GALAX3L/USDT,0.09649,0.112547,0.091598,0.111416,509752.60897316,52173.9945826910478
1661644800,2022-08-28 00:00:00,GALAX3L/USDT,0.102899,0.11,0.095,0.096155,305661.77231801,31919.74590423595308
1661558400,2022-08-27 00:00:00,GALAX3L/USDT,0.097451,0.105809,0.094013,0.10306,503951.85911581,50537.61500665667897
1661472000,2022-08-26 00:00:00,GALAX3L/USDT,0.13353,0.135,0.091061,0.097233,1202453.02651872,138089.63618162164733
1661385600,2022-08-25 00:00:00,GALAX3L/USDT,0.13597,0.15056,0.126525,0.134152,1262312.97696402,173689.30504466755213
1661299200,2022-08-24 00:00:00,GALAX3L/USDT,0.132545,0.148022,0.120329,0.135014,1471081.56568237,200527.05119037199764
1661212800,2022-08-23 00:00:00,GALAX3L/USDT,0.125642,0.140514,0.110368,0.131693,975767.84251134,122931.99672153104305
1661126400,2022-08-22 00:00:00,GALAX3L/USDT,0.13147,0.13147,0.106001,0.125347,993879.54532484,114620.74811112591946
1661040000,2022-08-21 00:00:00,GALAX3L/USDT,0.119196,0.135021,0.115898,0.130004,625512.62952853,79181.51556296502666
1660953600,2022-08-20 00:00:00,GALAX3L/USDT,0.122959,0.133649,0.104021,0.118735,865316.59880908,105379.66325969687795
1660867200,2022-08-19 00:00:00,GALAX3L/USDT,0.172718,0.172847,0.111688,0.123233,2414722.81621347,328845.9733979787398
1660780800,2022-08-18 00:00:00,GALAX3L/USDT,0.223255,0.232957,0.148152,0.172641,1164880.59335002,241081.42219916580998
1660694400,2022-08-17 00:00:00,GALAX3L/USDT,0.306497,0.32923,0.22,0.223143,1042088.15266439,272074.72128066278576
