https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume BTC
1653436800,2022-05-25 00:00:00,LUNA/BTC,0.000000006,0.000000006,0.0000000057,0.000000006,151315361.99124462,0.888767546742359924
1653350400,2022-05-24 00:00:00,LUNA/BTC,0.0000000055,0.0000000063,0.0000000051,0.000000006,2984076885.97195125,16.638810114739281536
1653264000,2022-05-23 00:00:00,LUNA/BTC,0.0000000063,0.0000000073,0.0000000053,0.0000000056,8059845298.97037421,50.510386584760292841
1653177600,2022-05-22 00:00:00,LUNA/BTC,0.0000000042,0.0000000079,0.0000000039,0.0000000063,20920961573.08178595,127.941294179909923366
1653091200,2022-05-21 00:00:00,LUNA/BTC,0.0000000041,0.0000000047,0.0000000034,0.0000000041,4873035298.32515683,18.839672691436506667
1653004800,2022-05-20 00:00:00,LUNA/BTC,0.0000000044,0.000000005,0.0000000039,0.0000000039,4010777082.18356482,18.233576684677543281
1652918400,2022-05-19 00:00:00,LUNA/BTC,0.0000000052,0.0000000056,0.0000000041,0.0000000043,6623594697.11598846,31.599258410780998915
1652832000,2022-05-18 00:00:00,LUNA/BTC,0.0000000061,0.0000000068,0.0000000048,0.0000000052,7967342880.70617452,47.423892453592502066
1652745600,2022-05-17 00:00:00,LUNA/BTC,0.0000000065,0.0000000074,0.0000000053,0.0000000061,10400098082.55721814,65.247003264514714895
1652659200,2022-05-16 00:00:00,LUNA/BTC,0.0000000068,0.0000000093,0.0000000039,0.0000000065,26699932549.87594842,174.386355604011806086
1652572800,2022-05-15 00:00:00,LUNA/BTC,0.0000000126,0.0000000133,0.0000000055,0.0000000068,26938389048.07693999,246.049597673722812958
1652486400,2022-05-14 00:00:00,LUNA/BTC,0.0000000029,0.0000000164,0.0000000022,0.0000000126,54288589560.45702831,477.457997680653548976
1652400000,2022-05-13 00:00:00,LUNA/BTC,0.0000000065,0.0000000101,0.0000000001,0.0000000028,115710514738.03758165,112.495487356540300635
1652313600,2022-05-12 00:00:00,LUNA/BTC,0.0000373,0.00004518,0.0000000056,0.0000000066,1350417550.36458935,492.564271735809868806
1652227200,2022-05-11 00:00:00,LUNA/BTC,0.00055907,0.00062617,0.0000228,0.0000373,14462648.80415262,1249.9141394689985389
1652140800,2022-05-10 00:00:00,LUNA/BTC,0.001008,0.00135524,0.00042893,0.00055955,1887026.72817982,1709.2808581440818712
1652054400,2022-05-09 00:00:00,LUNA/BTC,0.0018871,0.0019081,0.00099,0.00101025,1251505.13719249,1965.2679942316821
1651968000,2022-05-08 00:00:00,LUNA/BTC,0.0019212,0.001971,0.00171908,0.00188674,807493.89114976,1503.7128990535290467
1651881600,2022-05-07 00:00:00,LUNA/BTC,0.00214647,0.00214931,0.0018125,0.0019212,328678.26635764,654.5688952538119491
