https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AURY,Volume USDT
1663459200,2022-09-18 00:00:00,AURY/USDT,1.435,1.435,1.433,1.435,2.7299,3.9153943
1663372800,2022-09-17 00:00:00,AURY/USDT,1.44,1.44,1.432,1.435,1212.4139,1740.9801206
1663286400,2022-09-16 00:00:00,AURY/USDT,1.477,1.477,1.435,1.435,3501.5482,5120.0947994
1663200000,2022-09-15 00:00:00,AURY/USDT,1.509,1.518,1.474,1.474,4934.3723,7354.6136906
1663113600,2022-09-14 00:00:00,AURY/USDT,1.508,1.518,1.504,1.508,1240.9599,1874.7204801
1663027200,2022-09-13 00:00:00,AURY/USDT,1.536,1.546,1.504,1.508,7423.9732,11341.3140206
1662940800,2022-09-12 00:00:00,AURY/USDT,1.537,1.55,1.43,1.535,15798.2014,24076.7160115
1662854400,2022-09-11 00:00:00,AURY/USDT,1.564,1.575,1.476,1.537,17078.5522,26323.1961202
1662768000,2022-09-10 00:00:00,AURY/USDT,1.554,1.593,1.49,1.564,27237.9482,42255.3106345
1662681600,2022-09-09 00:00:00,AURY/USDT,1.607,1.627,1.538,1.554,19286.4765,30495.5166494
1662595200,2022-09-08 00:00:00,AURY/USDT,1.671,1.671,1.606,1.607,6452.0964,10594.4740472
1662508800,2022-09-07 00:00:00,AURY/USDT,1.776,1.778,1.657,1.671,15655.4959,26883.376882
1662422400,2022-09-06 00:00:00,AURY/USDT,1.78,1.821,1.773,1.784,6549.2208,11797.6575464
1662336000,2022-09-05 00:00:00,AURY/USDT,1.775,1.795,1.766,1.781,1138.1011,2030.4396011
1662249600,2022-09-04 00:00:00,AURY/USDT,1.77,1.782,1.762,1.775,801.1137,1417.0934448
1662163200,2022-09-03 00:00:00,AURY/USDT,1.775,1.792,1.766,1.766,4186.9813,7463.9233755
1662076800,2022-09-02 00:00:00,AURY/USDT,1.804,1.816,1.756,1.774,13143.9457,23513.263149
1661990400,2022-09-01 00:00:00,AURY/USDT,1.82,1.832,1.763,1.803,1799096.1907,3276378.5373655
1661904000,2022-08-31 00:00:00,AURY/USDT,1.843,1.848,1.788,1.819,1305668.4594,2390033.2820884
1661817600,2022-08-30 00:00:00,AURY/USDT,1.881,1.883,1.809,1.842,493192.9577,922311.9431766
1661731200,2022-08-29 00:00:00,AURY/USDT,1.866,1.898,1.838,1.873,589835.5066,1107122.4606205
1661644800,2022-08-28 00:00:00,AURY/USDT,1.907,1.914,1.866,1.866,479718.4996,913292.9307534
1661558400,2022-08-27 00:00:00,AURY/USDT,1.963,1.974,1.889,1.906,418204.2763,816060.3802312
1661472000,2022-08-26 00:00:00,AURY/USDT,2.062,2.062,1.954,1.963,173753.8512,348429.8981172
1661385600,2022-08-25 00:00:00,AURY/USDT,2.012,2.075,2.008,2.062,18691.8394,38365.4051336
