https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUPER,Volume USDT
1663459200,2022-09-18 00:00:00,SUPER/USDT,0.137,0.137,0.136,0.1363,697.27037007,94.97886072959
1663372800,2022-09-17 00:00:00,SUPER/USDT,0.1312,0.1373,0.1312,0.1371,225179.9439285,30502.257168028923
1663286400,2022-09-16 00:00:00,SUPER/USDT,0.1295,0.1324,0.127,0.1312,147954.81266061,19243.824631865287
1663200000,2022-09-15 00:00:00,SUPER/USDT,0.1361,0.1373,0.1284,0.1301,677542.72759834,90132.909922396129
1663113600,2022-09-14 00:00:00,SUPER/USDT,0.1347,0.1381,0.1335,0.1364,348303.74439928,47409.956622542294
1663027200,2022-09-13 00:00:00,SUPER/USDT,0.1428,0.1479,0.1331,0.1348,846691.26831379,118305.499004480298
1662940800,2022-09-12 00:00:00,SUPER/USDT,0.1433,0.1465,0.1395,0.1423,535412.59051145,76743.345122035639
1662854400,2022-09-11 00:00:00,SUPER/USDT,0.1447,0.1493,0.142,0.1439,299620.0692969,43562.242834377226
1662768000,2022-09-10 00:00:00,SUPER/USDT,0.1412,0.1456,0.14,0.1443,280266.96267976,39900.913945156538
1662681600,2022-09-09 00:00:00,SUPER/USDT,0.1368,0.1437,0.1368,0.1411,543571.78228636,76588.063031375792
1662595200,2022-09-08 00:00:00,SUPER/USDT,0.1348,0.1443,0.1317,0.1366,675178.99406334,92907.468922312374
1662508800,2022-09-07 00:00:00,SUPER/USDT,0.1307,0.136,0.1273,0.1345,395740.80966987,51736.05547335432
1662422400,2022-09-06 00:00:00,SUPER/USDT,0.1383,0.1411,0.1302,0.1307,648309.3520359,88718.615251401634
1662336000,2022-09-05 00:00:00,SUPER/USDT,0.1385,0.1412,0.1361,0.1382,408402.48610143,56580.909188441217
1662249600,2022-09-04 00:00:00,SUPER/USDT,0.1371,0.1386,0.1352,0.1386,104323.98950599,14297.470411919087
1662163200,2022-09-03 00:00:00,SUPER/USDT,0.1372,0.1386,0.1359,0.1374,324965.18832918,44596.500844019309
1662076800,2022-09-02 00:00:00,SUPER/USDT,0.1376,0.141,0.1352,0.1369,496355.7778153,68586.886727984693
1661990400,2022-09-01 00:00:00,SUPER/USDT,0.1365,0.1386,0.1326,0.1375,838308.90409751,114017.943354325702
1661904000,2022-08-31 00:00:00,SUPER/USDT,0.1351,0.1399,0.1347,0.1366,783107.7181647,107829.02594296999
1661817600,2022-08-30 00:00:00,SUPER/USDT,0.1404,0.1432,0.1328,0.1354,920014.05286002,126774.908732742991
1661731200,2022-08-29 00:00:00,SUPER/USDT,0.1325,0.1439,0.1311,0.1404,2135503.37462107,295905.520401281052
1661644800,2022-08-28 00:00:00,SUPER/USDT,0.1323,0.1558,0.1301,0.1315,2757304.54410752,385952.324922038567
1661558400,2022-08-27 00:00:00,SUPER/USDT,0.1306,0.1568,0.1272,0.1325,2019043.03724512,279127.04230721235
1661472000,2022-08-26 00:00:00,SUPER/USDT,0.1432,0.1432,0.13,0.1312,671053.71826853,92013.617103223831
1661385600,2022-08-25 00:00:00,SUPER/USDT,0.1419,0.1462,0.1419,0.1433,298253.86327165,42918.277756204167
1661299200,2022-08-24 00:00:00,SUPER/USDT,0.1425,0.1462,0.1384,0.1419,603038.38650985,85601.155398507022
1661212800,2022-08-23 00:00:00,SUPER/USDT,0.1401,0.1442,0.1374,0.1425,515887.15921193,73069.969110540592
1661126400,2022-08-22 00:00:00,SUPER/USDT,0.144,0.1441,0.1346,0.141,785475.10922767,108598.545224332106
1661040000,2022-08-21 00:00:00,SUPER/USDT,0.1392,0.1461,0.1384,0.144,776126.78877575,110933.703451205438
1660953600,2022-08-20 00:00:00,SUPER/USDT,0.1392,0.1493,0.1365,0.1389,1172102.71329718,166854.308293514182
1660867200,2022-08-19 00:00:00,SUPER/USDT,0.1582,0.1584,0.1375,0.1389,1132261.46063321,163203.70171493731
1660780800,2022-08-18 00:00:00,SUPER/USDT,0.1587,0.1643,0.1574,0.158,479839.76468589,77340.842822807861
1660694400,2022-08-17 00:00:00,SUPER/USDT,0.1695,0.1754,0.1575,0.1586,796947.36386262,132288.273557139255
1660608000,2022-08-16 00:00:00,SUPER/USDT,0.1764,0.1781,0.1666,0.1692,782707.7342141,134194.19768003775
1660521600,2022-08-15 00:00:00,SUPER/USDT,0.1776,0.2081,0.1738,0.176,2482709.82226023,464112.892338723173
1660435200,2022-08-14 00:00:00,SUPER/USDT,0.181,0.185,0.1762,0.178,837380.95273443,150968.21094660673
1660348800,2022-08-13 00:00:00,SUPER/USDT,0.1823,0.1877,0.1799,0.1814,911827.58550482,167267.775936921946
1660262400,2022-08-12 00:00:00,SUPER/USDT,0.178,0.1831,0.1739,0.1831,891260.71159378,159223.096300377126
1660176000,2022-08-11 00:00:00,SUPER/USDT,0.1797,0.1888,0.1762,0.1775,1809489.1451286,330795.847652478681
1660089600,2022-08-10 00:00:00,SUPER/USDT,0.1735,0.1815,0.1667,0.1807,1408457.16399853,249051.475784823935
1660003200,2022-08-09 00:00:00,SUPER/USDT,0.1752,0.1823,0.1648,0.173,943227.39095568,162993.993932731847
1659916800,2022-08-08 00:00:00,SUPER/USDT,0.1773,0.1836,0.1735,0.1757,906856.17684663,162390.90464951174
1659830400,2022-08-07 00:00:00,SUPER/USDT,0.1694,0.1793,0.1681,0.1774,994356.09639824,173322.32724876202
1659744000,2022-08-06 00:00:00,SUPER/USDT,0.1777,0.178,0.1689,0.1693,575387.86312448,99476.928974348595
1659657600,2022-08-05 00:00:00,SUPER/USDT,0.1601,0.1853,0.1597,0.1774,3193516.46361409,562681.224374798265
1659571200,2022-08-04 00:00:00,SUPER/USDT,0.1627,0.1686,0.1581,0.1601,788284.45635384,129395.053789157944
1659484800,2022-08-03 00:00:00,SUPER/USDT,0.1626,0.1712,0.1576,0.1624,1182447.03873218,194881.905057431184
1659398400,2022-08-02 00:00:00,SUPER/USDT,0.1644,0.1692,0.1554,0.1621,1163529.95085392,188037.740324307779
1659312000,2022-08-01 00:00:00,SUPER/USDT,0.1664,0.1716,0.1604,0.1649,1288047.04820003,213778.988902272055
1659225600,2022-07-31 00:00:00,SUPER/USDT,0.1669,0.1772,0.1635,0.1662,1362250.19509946,233895.392147603624
1659139200,2022-07-30 00:00:00,SUPER/USDT,0.1732,0.1878,0.1637,0.1666,1989346.98333745,348824.144627305988
1659052800,2022-07-29 00:00:00,SUPER/USDT,0.1603,0.2199,0.1555,0.1729,6655966.36260448,1238710.303804799847
1658966400,2022-07-28 00:00:00,SUPER/USDT,0.1536,0.1671,0.1486,0.16,847571.68600031,134630.191320414403
1658880000,2022-07-27 00:00:00,SUPER/USDT,0.144,0.1555,0.1395,0.1535,983903.93415664,145192.371044971429
1658793600,2022-07-26 00:00:00,SUPER/USDT,0.1405,0.151,0.1327,0.1438,1059485.06115572,147931.106910700827
1658707200,2022-07-25 00:00:00,SUPER/USDT,0.1586,0.16,0.1401,0.1401,925279.40525503,135862.401170260883
1658620800,2022-07-24 00:00:00,SUPER/USDT,0.1598,0.1682,0.1539,0.1586,1502704.81776789,239359.952084837294
1658534400,2022-07-23 00:00:00,SUPER/USDT,0.1675,0.1956,0.1546,0.1593,7765850.45386063,1355220.747839012776
1658448000,2022-07-22 00:00:00,SUPER/USDT,0.1395,0.1996,0.1385,0.1672,11429057.6186353,2058853.827640009316
1658361600,2022-07-21 00:00:00,SUPER/USDT,0.1347,0.1412,0.1285,0.1392,433831.42166512,58253.98280128175
1658275200,2022-07-20 00:00:00,SUPER/USDT,0.1455,0.1498,0.1336,0.1346,676621.48766488,96892.977376038448
1658188800,2022-07-19 00:00:00,SUPER/USDT,0.1458,0.1512,0.1392,0.1452,1030686.58147466,149885.053020106147
1658102400,2022-07-18 00:00:00,SUPER/USDT,0.1325,0.1471,0.1324,0.1459,911786.00460573,129511.102101393191
1658016000,2022-07-17 00:00:00,SUPER/USDT,0.1376,0.1412,0.1326,0.1327,640186.99691059,87241.332070359166
1657929600,2022-07-16 00:00:00,SUPER/USDT,0.1291,0.1383,0.1248,0.1376,795485.16491299,105142.675047092931
1657843200,2022-07-15 00:00:00,SUPER/USDT,0.13,0.139,0.1269,0.129,1032066.37839921,135930.642010697525
1657756800,2022-07-14 00:00:00,SUPER/USDT,0.1226,0.1355,0.119,0.1299,1027795.77437928,130594.56670689087
1657670400,2022-07-13 00:00:00,SUPER/USDT,0.114,0.1236,0.11,0.1235,494868.27888778,57494.485295330584
1657584000,2022-07-12 00:00:00,SUPER/USDT,0.1196,0.1251,0.1142,0.115,605559.64228853,73024.95776918001
1657497600,2022-07-11 00:00:00,SUPER/USDT,0.1244,0.1296,0.1181,0.1193,632132.03413812,77742.722771582057
1657411200,2022-07-10 00:00:00,SUPER/USDT,0.1323,0.1386,0.122,0.1249,798526.1254119,103970.253499165778
1657324800,2022-07-09 00:00:00,SUPER/USDT,0.1286,0.1343,0.1286,0.1326,316314.40556173,41793.966828542994
