https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USDT
1663459200,2022-09-18 00:00:00,FTM/USDT,0.25209,0.25232,0.25047,0.2518,215267.39474823,54040.5180760377851
1663372800,2022-09-17 00:00:00,FTM/USDT,0.24693,0.25356,0.24542,0.25207,6411676.73985235,1596327.4767454678689
1663286400,2022-09-16 00:00:00,FTM/USDT,0.24065,0.24829,0.23727,0.24691,8791496.0573921,2135990.3690545111453
1663200000,2022-09-15 00:00:00,FTM/USDT,0.25085,0.25088,0.23688,0.24059,13673110.50261007,3329055.3570153005297
1663113600,2022-09-14 00:00:00,FTM/USDT,0.24778,0.25332,0.24275,0.25098,10591940.54765317,2643040.5362729250825
1663027200,2022-09-13 00:00:00,FTM/USDT,0.26919,0.27561,0.24606,0.24781,22706215.11447283,5912802.6451665297704
1662940800,2022-09-12 00:00:00,FTM/USDT,0.2725,0.28568,0.26204,0.26909,19449465.22557532,5319268.9268969944297
1662854400,2022-09-11 00:00:00,FTM/USDT,0.27455,0.2805,0.26506,0.27251,9878593.12964542,2698002.9818179322758
1662768000,2022-09-10 00:00:00,FTM/USDT,0.27321,0.28654,0.26947,0.27455,15504475.44331715,4285809.3114120169677
1662681600,2022-09-09 00:00:00,FTM/USDT,0.25331,0.27721,0.25296,0.2732,15474640.04922506,4122435.1038640901439
1662595200,2022-09-08 00:00:00,FTM/USDT,0.25397,0.25741,0.24652,0.25316,13164842.57161904,3321885.6221149825428
1662508800,2022-09-07 00:00:00,FTM/USDT,0.24483,0.25838,0.23814,0.25403,13557190.04416366,3376934.013478868488
1662422400,2022-09-06 00:00:00,FTM/USDT,0.265,0.27222,0.24253,0.24483,18201454.61562392,4688093.6633888288952
1662336000,2022-09-05 00:00:00,FTM/USDT,0.27309,0.2767,0.25834,0.26495,12993661.95206398,3440221.2673322528735
1662249600,2022-09-04 00:00:00,FTM/USDT,0.26731,0.27501,0.26577,0.27311,8164135.48228394,2206057.8982458201914
