https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTRG,Volume USDT
1663459200,2022-09-18 00:00:00,MTRG/USDT,4.035,4.041,4.015,4.019,5376.2044,21666.4829424
1663372800,2022-09-17 00:00:00,MTRG/USDT,4.012,4.033,3.947,4.033,58814.8787,235384.0432583
1663286400,2022-09-16 00:00:00,MTRG/USDT,4.105,4.173,3.91,4.011,109136.3304,441104.5649116
1663200000,2022-09-15 00:00:00,MTRG/USDT,4.149,4.261,4.015,4.075,108647.21311858,447452.28770472664
1663113600,2022-09-14 00:00:00,MTRG/USDT,3.808,4.21,3.75,4.136,132809.9738,524419.6543529
1663027200,2022-09-13 00:00:00,MTRG/USDT,4.092,4.092,3.54,3.806,168807.2143,641782.7868609
1662940800,2022-09-12 00:00:00,MTRG/USDT,4.091,4.146,3.95,4.061,106836.0281,432322.408721
1662854400,2022-09-11 00:00:00,MTRG/USDT,3.842,4.219,3.83,4.103,173512.2544964,704948.1624882
1662768000,2022-09-10 00:00:00,MTRG/USDT,3.74,3.931,3.69,3.855,153188.3512,584098.9532242
1662681600,2022-09-09 00:00:00,MTRG/USDT,3.316,3.775,3.299,3.74,219950.86,780972.6398977
1662595200,2022-09-08 00:00:00,MTRG/USDT,3.223,3.313,3.138,3.313,87215.8681,280209.6772529
1662508800,2022-09-07 00:00:00,MTRG/USDT,3.068,3.263,3.027,3.232,54894.8415,171520.7400251
1662422400,2022-09-06 00:00:00,MTRG/USDT,3.139,3.47,3,3.068,112258.11890893,354487.78296689
1662336000,2022-09-05 00:00:00,MTRG/USDT,3.14,3.172,3.069,3.139,54789.5838,171331.5115158
1662249600,2022-09-04 00:00:00,MTRG/USDT,3.058,3.16,3.029,3.137,36489.3077,112697.0893932
1662163200,2022-09-03 00:00:00,MTRG/USDT,2.993,3.088,2.975,3.062,27264.2293,82880.539823
1662076800,2022-09-02 00:00:00,MTRG/USDT,3.024,3.078,2.959,2.992,60751.2002,183201.162491
1661990400,2022-09-01 00:00:00,MTRG/USDT,2.952,3.049,2.846,3.022,49149.8039,143500.4993116
1661904000,2022-08-31 00:00:00,MTRG/USDT,3.02,3.104,2.91,2.945,22329.6430032,67258.3141028912
1661817600,2022-08-30 00:00:00,MTRG/USDT,3.071,3.105,2.898,3.02,73153.5763804,219513.37580406652
1661731200,2022-08-29 00:00:00,MTRG/USDT,2.84,3.086,2.779,3.086,68882.91419263,201562.27012382832
1661644800,2022-08-28 00:00:00,MTRG/USDT,2.874,3.016,2.841,2.85,67118.06985292,197774.52132938395
1661558400,2022-08-27 00:00:00,MTRG/USDT,2.84,2.931,2.801,2.862,53799.16770196,154617.49535701164
1661472000,2022-08-26 00:00:00,MTRG/USDT,3.289,3.327,2.83,2.839,127028.75731582,386855.08745197211
1661385600,2022-08-25 00:00:00,MTRG/USDT,3.099,3.327,3.099,3.294,90302.42795978,293691.02942083421
1661299200,2022-08-24 00:00:00,MTRG/USDT,3.097,3.186,3.024,3.099,74086.61755874,230806.81666193498
1661212800,2022-08-23 00:00:00,MTRG/USDT,2.848,3.099,2.8,3.082,94814.17574666,278885.79034007932
1661126400,2022-08-22 00:00:00,MTRG/USDT,2.781,2.945,2.687,2.847,90650.43079708,252401.19725638433
1661040000,2022-08-21 00:00:00,MTRG/USDT,2.576,2.942,2.562,2.794,125010.94640365,347466.2396296894
1660953600,2022-08-20 00:00:00,MTRG/USDT,2.61,2.7,2.55,2.572,63838.72156995,169034.74559707773
1660867200,2022-08-19 00:00:00,MTRG/USDT,3.186,3.199,2.496,2.606,265546.1360917,730315.57671638149
1660780800,2022-08-18 00:00:00,MTRG/USDT,3.249,3.319,3.172,3.204,52973.45673197,172059.47870749671
1660694400,2022-08-17 00:00:00,MTRG/USDT,3.231,3.369,3.15,3.244,100213.54152845,326514.3857525557
1660608000,2022-08-16 00:00:00,MTRG/USDT,3.458,3.527,3.217,3.239,74911.70453281,251769.59156365137
1660521600,2022-08-15 00:00:00,MTRG/USDT,3.564,3.674,3.43,3.452,78834.79281836,278215.68654208221
1660435200,2022-08-14 00:00:00,MTRG/USDT,3.741,3.81,3.517,3.546,56289.51352451,207964.03484718193
1660348800,2022-08-13 00:00:00,MTRG/USDT,3.726,4.156,3.667,3.744,92128.66458674,349017.93622049158
1660262400,2022-08-12 00:00:00,MTRG/USDT,3.603,3.789,3.44,3.702,131093.46592393,475992.61622930686
1660176000,2022-08-11 00:00:00,MTRG/USDT,3.778,3.884,3.508,3.602,122712.3466704,455876.84093410216
1660089600,2022-08-10 00:00:00,MTRG/USDT,3.583,3.835,3.486,3.786,116517.59417418,426158.45016061142
1660003200,2022-08-09 00:00:00,MTRG/USDT,3.789,3.95,3.55,3.583,113266.43897422,418712.6718009838
1659916800,2022-08-08 00:00:00,MTRG/USDT,3.775,3.995,3.7,3.779,175276.60721643,671828.30893934596
1659830400,2022-08-07 00:00:00,MTRG/USDT,3.388,3.9,3.377,3.773,124365.06480249,449887.08760090232
1659744000,2022-08-06 00:00:00,MTRG/USDT,3.42,3.644,3.344,3.382,70432.34047629,242614.50876551209
1659657600,2022-08-05 00:00:00,MTRG/USDT,3.135,3.43,3.114,3.418,85678.58554364,280132.99006280844
1659571200,2022-08-04 00:00:00,MTRG/USDT,3.1,3.17,3.065,3.12,51212.24014692,159604.09885191117
1659484800,2022-08-03 00:00:00,MTRG/USDT,3.069,3.223,3.024,3.114,78232.1285107,245129.39850234599
1659398400,2022-08-02 00:00:00,MTRG/USDT,3.221,3.265,3.011,3.07,135267.23235726,420561.28066336696
1659312000,2022-08-01 00:00:00,MTRG/USDT,3.333,3.389,3.175,3.224,76626.89654692,250385.06005640627
1659225600,2022-07-31 00:00:00,MTRG/USDT,3.25,3.78,3.233,3.354,113706.81315666,390672.36788127456
1659139200,2022-07-30 00:00:00,MTRG/USDT,3.285,3.535,3.1,3.242,137178.87298101,456160.77552188325
1659052800,2022-07-29 00:00:00,MTRG/USDT,3.328,3.6,3.245,3.262,94421.62473174,313443.17754499105
1658966400,2022-07-28 00:00:00,MTRG/USDT,2.975,3.374,2.961,3.328,213202.22707621,668702.01871071329
1658880000,2022-07-27 00:00:00,MTRG/USDT,2.819,3.03,2.809,2.967,207864.11903447,615416.63410287262
1658793600,2022-07-26 00:00:00,MTRG/USDT,2.92,2.926,2.701,2.818,110323.49769742,308149.48134802751
1658707200,2022-07-25 00:00:00,MTRG/USDT,3.225,3.3,2.81,2.939,252847.58117799,753918.53232097933
1658620800,2022-07-24 00:00:00,MTRG/USDT,3.359,3.567,3.191,3.225,108488.12528866,362119.47311912788
1658534400,2022-07-23 00:00:00,MTRG/USDT,3.255,3.7,3.091,3.36,230697.75213792,766419.31760102531
1658448000,2022-07-22 00:00:00,MTRG/USDT,2.863,3.94,2.811,3.243,445878.07405117,1436852.45387993779
1658361600,2022-07-21 00:00:00,MTRG/USDT,2.5,2.89,2.414,2.882,147452.34805587,389650.63243996337
1658275200,2022-07-20 00:00:00,MTRG/USDT,2.691,2.764,2.36,2.49,227111.44766453,583279.27560486164
1658188800,2022-07-19 00:00:00,MTRG/USDT,2.595,2.862,2.54,2.691,208495.21361128,564748.50592407448
1658102400,2022-07-18 00:00:00,MTRG/USDT,2.243,2.74,2.23,2.608,279943.61185656,709501.87781723321
1658016000,2022-07-17 00:00:00,MTRG/USDT,2.301,2.365,2.22,2.24,103290.5520772,238286.39548295105
