https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USDT
1663459200,2022-09-18 00:00:00,1INCH/USDT,0.62928,0.62928,0.62306,0.62425,4052.12215916,2537.4212387902807
1663372800,2022-09-17 00:00:00,1INCH/USDT,0.61664,0.62983,0.61081,0.62867,104791.39255767,64871.7181997846111
1663286400,2022-09-16 00:00:00,1INCH/USDT,0.59145,0.62441,0.5824,0.61659,511456.82462963,310380.8262037156997
1663200000,2022-09-15 00:00:00,1INCH/USDT,0.61199,0.61878,0.58776,0.59103,148236.22472968,88781.0439927745473
1663113600,2022-09-14 00:00:00,1INCH/USDT,0.59388,0.61766,0.58998,0.61223,130940.31450133,79444.8887789225257
1663027200,2022-09-13 00:00:00,1INCH/USDT,0.64783,0.65831,0.5899,0.59402,326883.72204858,204419.969823427379
1662940800,2022-09-12 00:00:00,1INCH/USDT,0.64872,0.674,0.63392,0.64718,172672.64652068,112595.7143107464743
1662854400,2022-09-11 00:00:00,1INCH/USDT,0.65808,0.67329,0.63466,0.64945,194315.76368919,127610.4996619745843
1662768000,2022-09-10 00:00:00,1INCH/USDT,0.65869,0.68151,0.64749,0.65692,217018.55079787,143825.5540064649378
1662681600,2022-09-09 00:00:00,1INCH/USDT,0.63843,0.67612,0.63696,0.65823,339272.10316556,223689.1834850874893
1662595200,2022-09-08 00:00:00,1INCH/USDT,0.63123,0.64313,0.615,0.63821,410374.49764017,258075.9759034771804
1662508800,2022-09-07 00:00:00,1INCH/USDT,0.60868,0.63531,0.592,0.63109,300533.48650335,184364.2612525318029
1662422400,2022-09-06 00:00:00,1INCH/USDT,0.66403,0.67586,0.59876,0.60781,393481.54373791,250757.0953305790332
1662336000,2022-09-05 00:00:00,1INCH/USDT,0.67244,0.67683,0.6496,0.66205,145832.36961909,96529.8806193857976
1662249600,2022-09-04 00:00:00,1INCH/USDT,0.68797,0.692,0.65844,0.67174,254482.77233734,171331.4559742561791
1662163200,2022-09-03 00:00:00,1INCH/USDT,0.71279,0.71279,0.67702,0.68826,272953.09250393,187696.8705668893522
1662076800,2022-09-02 00:00:00,1INCH/USDT,0.66863,0.73845,0.66323,0.71216,997342.41728732,716377.9962245175739
1661990400,2022-09-01 00:00:00,1INCH/USDT,0.66292,0.67006,0.63653,0.66787,133378.86193321,87380.9857611593242
1661904000,2022-08-31 00:00:00,1INCH/USDT,0.65423,0.70713,0.65314,0.66276,286821.0065008,196853.7318006122546
1661817600,2022-08-30 00:00:00,1INCH/USDT,0.672,0.68411,0.63658,0.65079,86711.36229943,57227.5072766386183
1661731200,2022-08-29 00:00:00,1INCH/USDT,0.63193,0.67608,0.62562,0.6727,76694.58314871,50147.7245530957857
1661644800,2022-08-28 00:00:00,1INCH/USDT,0.6525,0.6692,0.62999,0.63086,84237.21401885,54933.2394685579709
1661558400,2022-08-27 00:00:00,1INCH/USDT,0.66,0.66527,0.64439,0.65143,109759.43617469,71924.2592322953582
1661472000,2022-08-26 00:00:00,1INCH/USDT,0.7439,0.74718,0.65378,0.66158,180893.32924455,129072.1738901276127
1661385600,2022-08-25 00:00:00,1INCH/USDT,0.72415,0.75124,0.72329,0.74326,101852.77698993,75261.8446753215515
1661299200,2022-08-24 00:00:00,1INCH/USDT,0.72568,0.74057,0.70829,0.721,91617.64247067,66152.5899901393363
1661212800,2022-08-23 00:00:00,1INCH/USDT,0.69986,0.7298,0.68316,0.72499,219069.98999669,155595.4434627744058
1661126400,2022-08-22 00:00:00,1INCH/USDT,0.69978,0.70217,0.6575,0.70115,172700.69451494,117246.5463387663704
1661040000,2022-08-21 00:00:00,1INCH/USDT,0.67652,0.7124,0.67457,0.70016,171298.04558323,118524.7039132718168
1660953600,2022-08-20 00:00:00,1INCH/USDT,0.67828,0.7017,0.6575,0.67454,203815.81788438,139127.4460183087439
1660867200,2022-08-19 00:00:00,1INCH/USDT,0.73325,0.73558,0.65535,0.67822,372047.55421057,256485.1785658169368
1660780800,2022-08-18 00:00:00,1INCH/USDT,0.77197,0.78414,0.72131,0.73271,221794.03347492,168980.5429437932462
1660694400,2022-08-17 00:00:00,1INCH/USDT,0.81818,0.84575,0.76486,0.77345,345105.3540162,281847.3362389557979
