https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAN,Volume ETH
1663459200,2022-09-18 00:00:00,WAN/ETH,0.0001362,0.000137,0.0001362,0.0001364,5308.8861,0.72543274428
1663372800,2022-09-17 00:00:00,WAN/ETH,0.0001343,0.0001477,0.0001338,0.0001362,102553.2273,14.16630968801
1663286400,2022-09-16 00:00:00,WAN/ETH,0.0001284,0.000135,0.0001284,0.0001342,84150.5701,11.06724294818
1663200000,2022-09-15 00:00:00,WAN/ETH,0.0001209,0.0001297,0.0001168,0.0001284,186162.3674,23.33917161481
1663113600,2022-09-14 00:00:00,WAN/ETH,0.00012,0.0001273,0.0001177,0.0001211,96518.0434,11.68460740717
1663027200,2022-09-13 00:00:00,WAN/ETH,0.0001162,0.0001202,0.0001147,0.0001199,98034.7462,11.50260709328
1662940800,2022-09-12 00:00:00,WAN/ETH,0.0001125,0.000121,0.0001099,0.0001162,134048.5037,15.38870468358
1662854400,2022-09-11 00:00:00,WAN/ETH,0.0001138,0.000115,0.000111,0.0001125,78550.0079,8.93464979998
1662768000,2022-09-10 00:00:00,WAN/ETH,0.0001156,0.0001179,0.0001136,0.0001138,131620.8188,15.31472066834
1662681600,2022-09-09 00:00:00,WAN/ETH,0.0001207,0.0001248,0.000114,0.0001156,135131.5093,15.94963891237
1662595200,2022-09-08 00:00:00,WAN/ETH,0.0001155,0.0001283,0.0001141,0.0001206,186670.2691,22.12617594977
1662508800,2022-09-07 00:00:00,WAN/ETH,0.0001198,0.0001225,0.000114,0.0001156,133194.8898,15.93353968511
1662422400,2022-09-06 00:00:00,WAN/ETH,0.0001211,0.0001218,0.000114,0.0001198,127014.8952,15.01475006579
1662336000,2022-09-05 00:00:00,WAN/ETH,0.0001266,0.0001274,0.0001168,0.0001211,120693.1851,14.8302758544
1662249600,2022-09-04 00:00:00,WAN/ETH,0.0001261,0.0001281,0.0001258,0.0001266,81204.5068,10.28974449689
1662163200,2022-09-03 00:00:00,WAN/ETH,0.0001266,0.0001287,0.0001245,0.0001261,87904.2074,11.14068817124
