https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1663459200,2022-09-18 00:00:00,WXT/USDT,0.004889,0.004889,0.004889,0.004889,201.05,0.98293345
1663455600,2022-09-17 23:00:00,WXT/USDT,0.004872,0.004872,0.004872,0.004872,0,0
1663452000,2022-09-17 22:00:00,WXT/USDT,0.004872,0.004872,0.004872,0.004872,31.1038,0.1515377136
1663448400,2022-09-17 21:00:00,WXT/USDT,0.004891,0.004891,0.004891,0.004891,4609.8265,22.5466614115
1663444800,2022-09-17 20:00:00,WXT/USDT,0.004889,0.004892,0.004889,0.004892,180.2652,0.8813915628
1663441200,2022-09-17 19:00:00,WXT/USDT,0.004897,0.004897,0.004867,0.004889,6507.0665,31.7513386677
1663437600,2022-09-17 18:00:00,WXT/USDT,0.004898,0.004898,0.004898,0.004898,408.3299,1.9999998502
1663434000,2022-09-17 17:00:00,WXT/USDT,0.004898,0.004898,0.004898,0.004898,0,0
1663430400,2022-09-17 16:00:00,WXT/USDT,0.004897,0.004898,0.004897,0.004898,52926.0201,259.2315534227
1663426800,2022-09-17 15:00:00,WXT/USDT,0.004905,0.004905,0.004899,0.004899,43240.815,211.983152685
1663423200,2022-09-17 14:00:00,WXT/USDT,0.004926,0.004932,0.004902,0.004932,196281.1319,966.4716347626
1663419600,2022-09-17 13:00:00,WXT/USDT,0.004923,0.004926,0.004923,0.004926,55385.2702,272.6948123646
1663416000,2022-09-17 12:00:00,WXT/USDT,0.004913,0.004913,0.004896,0.004898,7929.268,38.8372952174
1663412400,2022-09-17 11:00:00,WXT/USDT,0.004944,0.004944,0.004944,0.004944,0,0
1663408800,2022-09-17 10:00:00,WXT/USDT,0.004941,0.004944,0.004941,0.004944,50809.4457,251.053489536
1663405200,2022-09-17 09:00:00,WXT/USDT,0.004941,0.004941,0.004941,0.004941,0,0
1663401600,2022-09-17 08:00:00,WXT/USDT,0.004914,0.004941,0.004914,0.004941,574.6296,2.8346588118
1663398000,2022-09-17 07:00:00,WXT/USDT,0.004911,0.004953,0.004911,0.004913,17259.3788,85.4648831282
1663394400,2022-09-17 06:00:00,WXT/USDT,0.00488,0.004903,0.004879,0.004903,2532.4181,12.4019033358
1663390800,2022-09-17 05:00:00,WXT/USDT,0.004903,0.004903,0.004902,0.004902,897.5134,4.4001484057
1663387200,2022-09-17 04:00:00,WXT/USDT,0.004903,0.004903,0.004903,0.004903,294.7036,1.4449317508
1663383600,2022-09-17 03:00:00,WXT/USDT,0.004933,0.004933,0.004887,0.004887,314518.67,1537.2134111308
1663380000,2022-09-17 02:00:00,WXT/USDT,0.004916,0.004916,0.004916,0.004916,10173,50.010468
1663376400,2022-09-17 01:00:00,WXT/USDT,0.004906,0.004906,0.004906,0.004906,9550.2391,46.8534730246
1663372800,2022-09-17 00:00:00,WXT/USDT,0.004892,0.004933,0.004879,0.0049,63567.8534,313.229685974
1663369200,2022-09-16 23:00:00,WXT/USDT,0.00489,0.00489,0.00489,0.00489,0,0
1663365600,2022-09-16 22:00:00,WXT/USDT,0.004891,0.004891,0.00489,0.00489,7333.5852,35.8635652132
1663362000,2022-09-16 21:00:00,WXT/USDT,0.004892,0.004892,0.004892,0.004892,0,0
1663358400,2022-09-16 20:00:00,WXT/USDT,0.004891,0.004892,0.004891,0.004892,18823.8256,92.0750028788
1663354800,2022-09-16 19:00:00,WXT/USDT,0.00489,0.004891,0.004868,0.004891,81987.3235,400.0962737608
1663351200,2022-09-16 18:00:00,WXT/USDT,0.004891,0.004891,0.00489,0.00489,313.1205,1.5313637021
1663347600,2022-09-16 17:00:00,WXT/USDT,0.004891,0.004892,0.004869,0.004891,8006.9836,39.1582892906
