https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COV,Volume BTC
1663459200,2022-09-18 00:00:00,COV/BTC,0.00001375,0.00001391,0.00001375,0.0000138,11652.4888,0.161621816955
1663372800,2022-09-17 00:00:00,COV/BTC,0.00001304,0.00001396,0.00001295,0.00001368,195246.2052,2.613083546484
1663286400,2022-09-16 00:00:00,COV/BTC,0.00001375,0.00001375,0.00001257,0.00001302,235150.2887,3.047938444621
1663200000,2022-09-15 00:00:00,COV/BTC,0.00001508,0.00001541,0.00001345,0.00001373,231713.3638,3.345338762785
1663113600,2022-09-14 00:00:00,COV/BTC,0.00001339,0.00001522,0.00001317,0.00001516,228339.0597,3.276356507225
1663027200,2022-09-13 00:00:00,COV/BTC,0.00001331,0.00001366,0.00001247,0.00001344,187736.1549,2.428441335702
1662940800,2022-09-12 00:00:00,COV/BTC,0.00001433,0.0000144,0.00001327,0.00001336,97630.4877,1.350928297043
1662854400,2022-09-11 00:00:00,COV/BTC,0.00001408,0.00001468,0.00001389,0.0000144,170622.9089,2.425656997615
1662768000,2022-09-10 00:00:00,COV/BTC,0.00001338,0.00001423,0.00001334,0.00001406,173785.8439,2.37814896979
1662681600,2022-09-09 00:00:00,COV/BTC,0.00001372,0.00001381,0.00001301,0.00001338,201829.1651,2.716105007853
1662595200,2022-09-08 00:00:00,COV/BTC,0.00001249,0.00001384,0.00001241,0.00001376,222658.5252,2.905866623087
1662508800,2022-09-07 00:00:00,COV/BTC,0.00001154,0.00001259,0.00001128,0.00001257,208401.5882,2.404964100037
1662422400,2022-09-06 00:00:00,COV/BTC,0.00001129,0.00001163,0.000011,0.00001154,234972.2455,2.674570664971
1662336000,2022-09-05 00:00:00,COV/BTC,0.00001175,0.00001214,0.00001052,0.0000112,197439.0952,2.231992712688
1662249600,2022-09-04 00:00:00,COV/BTC,0.00001092,0.00001213,0.00001064,0.00001167,626827.5712,7.234972017833
1662163200,2022-09-03 00:00:00,COV/BTC,0.00001013,0.00001097,0.00001006,0.00001092,216337.4463,2.2342951375629869
1662076800,2022-09-02 00:00:00,COV/BTC,0.00000935,0.00001022,0.00000935,0.0000101,244355.5266,2.418619697164
1661990400,2022-09-01 00:00:00,COV/BTC,0.00000976,0.00000987,0.00000915,0.00000926,138037.8203,1.306349955025
1661904000,2022-08-31 00:00:00,COV/BTC,0.00000883,0.00001049,0.00000853,0.0000098,88982.7278,0.846246235454677
1661817600,2022-08-30 00:00:00,COV/BTC,0.00000887,0.00000928,0.00000881,0.00000882,19603.5482,0.177797315756
1661731200,2022-08-29 00:00:00,COV/BTC,0.00000864,0.00000893,0.0000081,0.00000887,15884.6932,0.135428187148
1661644800,2022-08-28 00:00:00,COV/BTC,0.00000855,0.00000892,0.00000849,0.00000869,16204.6214,0.140134450298
1661558400,2022-08-27 00:00:00,COV/BTC,0.00000881,0.00000884,0.00000839,0.00000851,11561.3287,0.099550520475
1661472000,2022-08-26 00:00:00,COV/BTC,0.00000869,0.00000944,0.00000815,0.00000881,57822.8366,0.515671523341
1661385600,2022-08-25 00:00:00,COV/BTC,0.00000876,0.00000887,0.00000829,0.00000869,18263.5631,0.158162757286
1661299200,2022-08-24 00:00:00,COV/BTC,0.0000088,0.0000091,0.0000084,0.00000877,49214.4078,0.434812669582
1661212800,2022-08-23 00:00:00,COV/BTC,0.0000083,0.00000903,0.00000826,0.0000088,43467.5706,0.376254868051
1661126400,2022-08-22 00:00:00,COV/BTC,0.00000831,0.00000899,0.00000756,0.00000827,44640.2361,0.365698164375
1661040000,2022-08-21 00:00:00,COV/BTC,0.00000803,0.0000088,0.000008,0.00000831,23390.1315,0.196011505742
1660953600,2022-08-20 00:00:00,COV/BTC,0.00000773,0.00000849,0.00000743,0.00000806,17085.008,0.134240980025
1660867200,2022-08-19 00:00:00,COV/BTC,0.00000791,0.00000846,0.00000684,0.00000772,73770.2247,0.571889551562
1660780800,2022-08-18 00:00:00,COV/BTC,0.00000823,0.00000862,0.00000764,0.00000786,36833.1983,0.293004424582
1660694400,2022-08-17 00:00:00,COV/BTC,0.0000078,0.00000879,0.00000751,0.00000825,54765.6683,0.45261919715
1660608000,2022-08-16 00:00:00,COV/BTC,0.00000762,0.00000798,0.00000749,0.0000078,17350.7258,0.134653635557
1660521600,2022-08-15 00:00:00,COV/BTC,0.00000755,0.00000786,0.0000073,0.00000761,34304.6049,0.256648688667
1660435200,2022-08-14 00:00:00,COV/BTC,0.00000752,0.00000776,0.0000074,0.00000752,16427.2446,0.123729948453
1660348800,2022-08-13 00:00:00,COV/BTC,0.00000789,0.00000806,0.00000701,0.00000752,30526.0725,0.232203719534
