https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1663545600000.0,2022-09-19 00:00:00,KNC/USDT,1.4399,1.4399,1.399,1.4062,5371.249957331816,7553.05169
1663459200000.0,2022-09-18 00:00:00,KNC/USDT,1.9041,1.9292,1.255,1.4399,4460896.296999792,6423244.57805
1663372800000.0,2022-09-17 00:00:00,KNC/USDT,1.8883,1.9945,1.8842,1.9041,861168.1578698597,1639750.2894
1663286400000.0,2022-09-16 00:00:00,KNC/USDT,1.9993,2.0469,1.8776,1.8883,51337.77423608536,96941.11909
1663200000000.0,2022-09-15 00:00:00,KNC/USDT,1.9385,2.0594,1.8798,1.9993,39208.815400390136,78390.18463
1663113600000.0,2022-09-14 00:00:00,KNC/USDT,1.9604,2.0116,1.8801,1.9385,27241.5993500129,52807.84034
1663027200000.0,2022-09-13 00:00:00,KNC/USDT,1.9145,2.0,1.8324,1.9604,58264.44704142012,114221.62198
1662940800000.0,2022-09-12 00:00:00,KNC/USDT,2.0093,2.0224,1.8993,1.9145,30183.384168190125,57786.08899
1662854400000.0,2022-09-11 00:00:00,KNC/USDT,2.05,2.0874,1.9612,2.0093,35369.5834569253,71068.10404
1662768000000.0,2022-09-10 00:00:00,KNC/USDT,1.8465,2.0839,1.8399,2.05,38994.05208292683,79937.80677
1662681600000.0,2022-09-09 00:00:00,KNC/USDT,1.7744,1.8818,1.7691,1.8465,11641.00720823179,21495.11981
1662595200000.0,2022-09-08 00:00:00,KNC/USDT,1.7493,1.8037,1.7324,1.7744,21867.174430793508,38801.11431
1662508800000.0,2022-09-07 00:00:00,KNC/USDT,1.68,1.7655,1.6597,1.7493,41627.927971188474,72819.7344
1662422400000.0,2022-09-06 00:00:00,KNC/USDT,1.6706,1.7324,1.6552,1.68,38810.36207142857,65201.40828
1662336000000.0,2022-09-05 00:00:00,KNC/USDT,1.6857,1.6961,1.6336,1.6706,11454.394103914761,19135.71079
1662249600000.0,2022-09-04 00:00:00,KNC/USDT,1.7032,1.7131,1.6682,1.6857,4001.7754582665953,6745.79289
1662163200000.0,2022-09-03 00:00:00,KNC/USDT,1.7952,1.7952,1.6941,1.7032,14155.96505988727,24110.43969
1662076800000.0,2022-09-02 00:00:00,KNC/USDT,1.7798,1.818,1.7453,1.7952,71357.07292223709,128100.21731
1661990400000.0,2022-09-01 00:00:00,KNC/USDT,1.7271,1.7858,1.6816,1.7797,44126.28559869641,78531.55048
1661904000000.0,2022-08-31 00:00:00,KNC/USDT,1.7324,1.8337,1.7145,1.7271,60110.00086271785,103815.98249
1661817600000.0,2022-08-30 00:00:00,KNC/USDT,1.7147,1.775,1.6527,1.7324,21641.4915377511,37491.71994
1661731200000.0,2022-08-29 00:00:00,KNC/USDT,1.6747,1.7175,1.6282,1.7147,52860.02902548551,90639.09177
1661644800000.0,2022-08-28 00:00:00,KNC/USDT,1.7796,1.7964,1.6651,1.6747,51645.10825222427,86490.06279
1661558400000.0,2022-08-27 00:00:00,KNC/USDT,1.725,1.825,1.6875,1.7796,19781.25581029445,35202.72284
1661472000000.0,2022-08-26 00:00:00,KNC/USDT,1.8125,1.8125,1.7021,1.725,28942.400631884055,49925.64109
1661385600000.0,2022-08-25 00:00:00,KNC/USDT,1.85,1.8861,1.775,1.8125,13355.482339310345,24206.81174
1661299200000.0,2022-08-24 00:00:00,KNC/USDT,1.9089,1.9721,1.8341,1.85,13076.898372972972,24192.26199
1661212800000.0,2022-08-23 00:00:00,KNC/USDT,1.9296,1.9462,1.8225,1.9089,8916.307653622505,17020.33968
1661126400000.0,2022-08-22 00:00:00,KNC/USDT,1.7936,1.9407,1.7769,1.9296,125191.6632099917,241569.83333
1661040000000.0,2022-08-21 00:00:00,KNC/USDT,1.7893,1.8111,1.7201,1.7929,10661.089720564449,19114.26776
1660953600000.0,2022-08-20 00:00:00,KNC/USDT,1.7806,1.8133,1.7137,1.7893,12898.427714748785,23079.15671
1660867200000.0,2022-08-19 00:00:00,KNC/USDT,1.7614,1.8495,1.6749,1.7806,50983.349258676855,90780.95169
1660780800000.0,2022-08-18 00:00:00,KNC/USDT,1.7061,1.798,1.6282,1.7614,60361.98145225389,106321.59413
1660694400000.0,2022-08-17 00:00:00,KNC/USDT,1.6342,1.7191,1.544,1.7061,20781.23563683254,35454.86612
1660608000000.0,2022-08-16 00:00:00,KNC/USDT,1.6728,1.6736,1.5979,1.6342,25033.833777995347,40910.29116
1660521600000.0,2022-08-15 00:00:00,KNC/USDT,1.6504,1.7762,1.6342,1.6728,36476.2193687231,61017.41976
1660435200000.0,2022-08-14 00:00:00,KNC/USDT,1.7013,1.7316,1.6398,1.6504,21585.124272903537,35624.0891
1660348800000.0,2022-08-13 00:00:00,KNC/USDT,1.6834,1.7355,1.6743,1.7013,17628.81762181861,29991.90742
1660262400000.0,2022-08-12 00:00:00,KNC/USDT,1.6624,1.6935,1.6284,1.6834,9041.037673755494,15219.68282
1660176000000.0,2022-08-11 00:00:00,KNC/USDT,1.6201,1.7568,1.6201,1.6624,32929.79088666987,54742.48437
1660089600000.0,2022-08-10 00:00:00,KNC/USDT,1.53,1.6207,1.482,1.6201,3885.62289364854,6295.09765
1660003200000.0,2022-08-09 00:00:00,KNC/USDT,1.6109,1.6372,1.4966,1.53,18471.915496732025,28262.03071
1659916800000.0,2022-08-08 00:00:00,KNC/USDT,1.5769,1.629,1.5694,1.6109,46870.53681172015,75503.74775
1659830400000.0,2022-08-07 00:00:00,KNC/USDT,1.5593,1.584,1.5318,1.5769,25244.238322024226,39807.63941
1659744000000.0,2022-08-06 00:00:00,KNC/USDT,1.6084,1.6141,1.5539,1.5593,38704.11975245303,60351.33393
1659657600000.0,2022-08-05 00:00:00,KNC/USDT,1.5044,1.6213,1.4981,1.6084,55663.84829022631,89529.73359
1659571200000.0,2022-08-04 00:00:00,KNC/USDT,1.4595,1.5234,1.4564,1.5044,11573.551435788353,17411.25078
1659484800000.0,2022-08-03 00:00:00,KNC/USDT,1.4892,1.5186,1.4427,1.4595,33281.53949297705,48574.40689
