https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADX,Volume USDT
1663459200,2022-09-18 00:00:00,ADX/USDT,0.1644,0.1644,0.1636,0.1636,24775.4121,4057.29906379
1663372800,2022-09-17 00:00:00,ADX/USDT,0.1573,0.1665,0.1572,0.1646,462510.6344,74843.86933867
1663286400,2022-09-16 00:00:00,ADX/USDT,0.1612,0.1617,0.156,0.157,513623.937,81752.70892128
1663200000,2022-09-15 00:00:00,ADX/USDT,0.1627,0.1689,0.1586,0.1615,733753.4482,119357.09159
1663113600,2022-09-14 00:00:00,ADX/USDT,0.1585,0.1635,0.1568,0.1628,587498.3873,94171.2413456
1663027200,2022-09-13 00:00:00,ADX/USDT,0.1737,0.1794,0.1588,0.1588,555581.5814,94770.76308647
1662940800,2022-09-12 00:00:00,ADX/USDT,0.1726,0.1799,0.1713,0.1739,590784.6048,103365.6404165
1662854400,2022-09-11 00:00:00,ADX/USDT,0.17,0.2,0.1679,0.1724,1100070.2242,192039.29588485
1662768000,2022-09-10 00:00:00,ADX/USDT,0.1704,0.1708,0.1663,0.1701,354748.2353,59737.28361239
1662681600,2022-09-09 00:00:00,ADX/USDT,0.1586,0.1709,0.1584,0.17,216018.704,36290.33651006
1662595200,2022-09-08 00:00:00,ADX/USDT,0.1557,0.161,0.1539,0.1592,554215.7274,86857.87954006
1662508800,2022-09-07 00:00:00,ADX/USDT,0.1496,0.1569,0.1452,0.1557,585782.7973,87938.34870063
1662422400,2022-09-06 00:00:00,ADX/USDT,0.1563,0.1617,0.1496,0.1496,612100.197,95304.7709573
1662336000,2022-09-05 00:00:00,ADX/USDT,0.1576,0.1584,0.1552,0.1563,470935.5539,73612.5053337
1662249600,2022-09-04 00:00:00,ADX/USDT,0.1564,0.1581,0.1551,0.1576,545145.6433,85282.25196224
1662163200,2022-09-03 00:00:00,ADX/USDT,0.1559,0.1576,0.1551,0.1564,497897.313,77590.46604129
1662076800,2022-09-02 00:00:00,ADX/USDT,0.1594,0.1628,0.1551,0.1559,565792.2869,89777.33576913
1661990400,2022-09-01 00:00:00,ADX/USDT,0.1552,0.163,0.1512,0.1598,626285.0801,98478.63793301
1661904000,2022-08-31 00:00:00,ADX/USDT,0.1536,0.1576,0.1536,0.1554,615351.4742,95889.54382239
1661817600,2022-08-30 00:00:00,ADX/USDT,0.1578,0.161,0.1476,0.1536,616072.1607,96657.37079649
1661731200,2022-08-29 00:00:00,ADX/USDT,0.1542,0.159,0.151,0.1578,545023.3987,84810.68627164
1661644800,2022-08-28 00:00:00,ADX/USDT,0.1579,0.1596,0.1464,0.1544,1037217.9193,160262.26194806
1661558400,2022-08-27 00:00:00,ADX/USDT,0.1541,0.2449,0.1523,0.1588,2453349.289,440407.00786916
1661472000,2022-08-26 00:00:00,ADX/USDT,0.1642,0.1655,0.1535,0.1542,567491.7541,91549.95410272
1661385600,2022-08-25 00:00:00,ADX/USDT,0.1658,0.1697,0.1637,0.1641,502143.4367,83330.82685992
1661299200,2022-08-24 00:00:00,ADX/USDT,0.1625,0.1831,0.1605,0.1656,588222.0229,97557.11537556
1661212800,2022-08-23 00:00:00,ADX/USDT,0.1592,0.1683,0.1581,0.1628,7442832.5334,1202515.54572036
1661126400,2022-08-22 00:00:00,ADX/USDT,0.1649,0.165,0.1561,0.159,6264167.8373,1000758.14829448
1661040000,2022-08-21 00:00:00,ADX/USDT,0.1591,0.1673,0.1591,0.165,1542460.077,251112.9528718
1660953600,2022-08-20 00:00:00,ADX/USDT,0.1588,0.1655,0.1579,0.159,1933296.1782,311628.31006445
1660867200,2022-08-19 00:00:00,ADX/USDT,0.1772,0.1772,0.1588,0.1588,1940095.3278,315350.26747952
1660780800,2022-08-18 00:00:00,ADX/USDT,0.1818,0.1839,0.1771,0.1772,1094427.3887,199717.94683952
1660694400,2022-08-17 00:00:00,ADX/USDT,0.1885,0.192,0.1815,0.1818,909569.8972,168936.57510766
