https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHR,Volume BTC
1663459200,2022-09-18 00:00:00,CHR/BTC,0.00000837,0.00000837,0.0000083,0.00000832,721.3526,0.005996742072
1663372800,2022-09-17 00:00:00,CHR/BTC,0.00000794,0.00000849,0.00000792,0.00000837,20509.0354,0.169959419344
1663286400,2022-09-16 00:00:00,CHR/BTC,0.00000787,0.000008,0.00000776,0.00000795,8521.9069,0.067067239234
1663200000,2022-09-15 00:00:00,CHR/BTC,0.00000806,0.00000808,0.00000775,0.00000788,13287.0275,0.104549836934
1663113600,2022-09-14 00:00:00,CHR/BTC,0.0000081,0.00000817,0.00000799,0.00000807,11715.3782,0.09432091401
1663027200,2022-09-13 00:00:00,CHR/BTC,0.00000819,0.00000827,0.00000766,0.0000081,63315.3245,0.50568862093
1662940800,2022-09-12 00:00:00,CHR/BTC,0.00000844,0.00000855,0.00000817,0.0000082,11994.5582,0.100609559992
1662854400,2022-09-11 00:00:00,CHR/BTC,0.00000859,0.00000874,0.00000841,0.00000845,7672.6728,0.066012810647
1662768000,2022-09-10 00:00:00,CHR/BTC,0.00000873,0.00000898,0.00000853,0.00000858,25067.745,0.218993369753
1662681600,2022-09-09 00:00:00,CHR/BTC,0.00000915,0.00000939,0.0000086,0.00000868,53979.7664,0.488316626412
1662595200,2022-09-08 00:00:00,CHR/BTC,0.00000923,0.00000929,0.00000904,0.00000917,11873.2899,0.108787499927
1662508800,2022-09-07 00:00:00,CHR/BTC,0.00000961,0.00000962,0.00000897,0.00000921,31115.1162,0.287432574676
1662422400,2022-09-06 00:00:00,CHR/BTC,0.00000936,0.00000981,0.00000923,0.00000961,32725.9754,0.31228223741
1662336000,2022-09-05 00:00:00,CHR/BTC,0.00000896,0.00000948,0.00000892,0.00000941,15856.3954,0.145602673818
1662249600,2022-09-04 00:00:00,CHR/BTC,0.00000885,0.00000907,0.00000881,0.00000894,9699.3028,0.086962524936
1662163200,2022-09-03 00:00:00,CHR/BTC,0.00000889,0.00000907,0.00000876,0.00000884,6554.4056,0.058400107804
1662076800,2022-09-02 00:00:00,CHR/BTC,0.00000904,0.00000916,0.0000088,0.00000888,9375.014,0.084106402776
1661990400,2022-09-01 00:00:00,CHR/BTC,0.00000898,0.00000941,0.00000888,0.00000904,16074.6974,0.146349072623
1661904000,2022-08-31 00:00:00,CHR/BTC,0.00000922,0.00000943,0.00000881,0.00000897,37270.6276,0.335093693188
1661817600,2022-08-30 00:00:00,CHR/BTC,0.00000863,0.00000922,0.00000862,0.00000917,37829.2085,0.335663931131
1661731200,2022-08-29 00:00:00,CHR/BTC,0.00000814,0.00000862,0.00000793,0.0000086,20244.8173,0.16266025838
1661644800,2022-08-28 00:00:00,CHR/BTC,0.00000843,0.00000854,0.00000808,0.0000081,25929.7804,0.214374520961
1661558400,2022-08-27 00:00:00,CHR/BTC,0.00000809,0.00000902,0.00000806,0.00000843,115087.9236,0.988042355827
1661472000,2022-08-26 00:00:00,CHR/BTC,0.00000849,0.00000914,0.00000802,0.00000807,115138.9199,0.997025367977
1661385600,2022-08-25 00:00:00,CHR/BTC,0.00000809,0.00000862,0.00000794,0.00000855,4836.692,0.039975328454
1661299200,2022-08-24 00:00:00,CHR/BTC,0.00000805,0.00000815,0.00000799,0.00000806,9302.397,0.074832269835
1661212800,2022-08-23 00:00:00,CHR/BTC,0.0000079,0.0000081,0.00000788,0.00000809,3800.4131,0.030419341746
