https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume VSY
1660780800000,2022-08-18 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0011908785844865,17012.55120695
1660694400000,2022-08-17 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.09760329725427201,1220041.2156784001
1660608000000,2022-08-16 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0300339400707556,429056.28672508
1660521600000,2022-08-15 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0335434515360808,419293.14420101
1660435200000,2022-08-14 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0334483434577088,418104.29322136
1660348800000,2022-08-13 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.034295508465351204,428693.85581689
1660262400000,2022-08-12 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.028859117491227805,412273.10701754
1660176000000,2022-08-11 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0321152187872383,458788.83981769
1660089600000,2022-08-10 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0545374137081977,779105.91011711
1660003200000,2022-08-09 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0336599391199407,480856.27314201
1659916800000,2022-08-08 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.040097610086742404,501220.12608428
1659830400000,2022-08-07 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.042588470931508,532355.88664385
1659744000000,2022-08-06 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0301294884180896,376618.60522612
1659657600000,2022-08-05 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0337419160756416,421773.95094552
1659571200000,2022-08-04 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0326694152824072,408367.69103009
1659484800000,2022-08-03 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0334904771437088,418630.96429636
1659398400000,2022-08-02 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.034082680231086404,426033.50288858
1659312000000,2022-08-01 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0293245956528805,418922.79504115
1659225600000,2022-07-31 00:00:00,VSY/BTC,7e-08,9e-08,7e-08,7e-08,0.0315518954290155,450741.36327165
1659139200000,2022-07-30 00:00:00,VSY/BTC,6e-08,9e-08,6e-08,7e-08,0.33900770127328933,4842967.16104699
1659052800000,2022-07-29 00:00:00,VSY/BTC,7e-08,7e-08,6e-08,6e-08,0.045210190948206594,753503.18247011
1658966400000,2022-07-28 00:00:00,VSY/BTC,7e-08,7e-08,6e-08,7e-08,0.030148828046806703,430697.54352581
1658880000000,2022-07-27 00:00:00,VSY/BTC,7e-08,7e-08,6e-08,6e-08,0.025032762532554598,417212.70887591
1658793600000,2022-07-26 00:00:00,VSY/BTC,6e-08,7e-08,6e-08,7e-08,0.030761718359278902,439453.11941827
1658707200000,2022-07-25 00:00:00,VSY/BTC,7e-08,8e-08,6e-08,6e-08,0.08219454709806778,1369909.11830113
1658620800000,2022-07-24 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.1730666483307055,2472380.69043865
