https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LAVAX,Volume USDT
1663459200,2022-09-18 00:00:00,LAVAX/USDT,0.01857,0.01861,0.01856,0.01861,367373.1703,6825.854486213
1663372800,2022-09-17 00:00:00,LAVAX/USDT,0.01881,0.01929,0.01832,0.01859,8555498.6084,160148.700177469
1663286400,2022-09-16 00:00:00,LAVAX/USDT,0.01795,0.01949,0.01791,0.01882,8819168.7136,161016.246839961
1663200000,2022-09-15 00:00:00,LAVAX/USDT,0.01788,0.01916,0.01788,0.01797,8832917.5299,161444.437729128
1663113600,2022-09-14 00:00:00,LAVAX/USDT,0.01837,0.01841,0.01772,0.01788,7249570.4404,131421.897611444
1663027200,2022-09-13 00:00:00,LAVAX/USDT,0.01789,0.02212,0.01769,0.01837,13333760.1696,258102.968340588
1662940800,2022-09-12 00:00:00,LAVAX/USDT,0.01773,0.01854,0.0176,0.01789,8892525.0239,160178.691620931
1662854400,2022-09-11 00:00:00,LAVAX/USDT,0.01872,0.01873,0.01762,0.01773,7851585.3821,141844.364305439
1662768000,2022-09-10 00:00:00,LAVAX/USDT,0.0202,0.0203,0.01856,0.01872,8996508.0615,171650.604278579
1662681600,2022-09-09 00:00:00,LAVAX/USDT,0.01782,0.02151,0.01759,0.02011,10382607.9993,191809.003149159
1662595200,2022-09-08 00:00:00,LAVAX/USDT,0.0182,0.01821,0.01726,0.01782,8657071.4639,153016.39383482
1662508800,2022-09-07 00:00:00,LAVAX/USDT,0.01716,0.01874,0.01663,0.0182,9558125.3666,165647.975296882
1662422400,2022-09-06 00:00:00,LAVAX/USDT,0.01831,0.01854,0.01716,0.01717,8570222.9594,153798.842988638
1662336000,2022-09-05 00:00:00,LAVAX/USDT,0.0189,0.01891,0.0183,0.0183,8308842.9187,155685.270806361
1662249600,2022-09-04 00:00:00,LAVAX/USDT,0.01873,0.01891,0.01871,0.0189,7551935.2481,142112.05947963
1662163200,2022-09-03 00:00:00,LAVAX/USDT,0.01871,0.0194,0.01868,0.01873,7517460.174,141638.817680938
1662076800,2022-09-02 00:00:00,LAVAX/USDT,0.01891,0.01996,0.01852,0.01871,7830639.81,148711.75442878
1661990400,2022-09-01 00:00:00,LAVAX/USDT,0.02106,0.02193,0.0183,0.01891,9184984.7754,182117.200840785
1661904000,2022-08-31 00:00:00,LAVAX/USDT,0.01948,0.02426,0.01921,0.02107,11595604.1036,243291.030412041
