https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAHA,Volume BTC
1663459200,2022-09-18 00:00:00,MAHA/BTC,0.0000524,0.0000528,0.0000524,0.0000525,84.3512,0.004437349927
1663372800,2022-09-17 00:00:00,MAHA/BTC,0.00005022,0.0000527,0.00005002,0.00005239,1003.0275,0.051551497385
1663286400,2022-09-16 00:00:00,MAHA/BTC,0.00005287,0.00005666,0.00005022,0.00005022,3432.6577,0.183391854021
1663200000,2022-09-15 00:00:00,MAHA/BTC,0.0000494,0.0000617,0.00004755,0.0000528,11499.458,0.623403722278
1663113600,2022-09-14 00:00:00,MAHA/BTC,0.000049,0.00004999,0.00004638,0.0000494,1887.7354,0.090618907631
1663027200,2022-09-13 00:00:00,MAHA/BTC,0.0000484,0.00005011,0.00004578,0.00004908,2616.6073,0.12499541815
1662940800,2022-09-12 00:00:00,MAHA/BTC,0.000047,0.0000491,0.00004428,0.0000481,1648.9749,0.07636299839
1662854400,2022-09-11 00:00:00,MAHA/BTC,0.000046,0.0000477,0.0000454,0.00004702,368.6107,0.017130678758
1662768000,2022-09-10 00:00:00,MAHA/BTC,0.0000472,0.00004779,0.00004564,0.00004639,453.2938,0.021159570234
1662681600,2022-09-09 00:00:00,MAHA/BTC,0.00004994,0.00005023,0.00004631,0.0000472,2543.49,0.122149965534
1662595200,2022-09-08 00:00:00,MAHA/BTC,0.00004979,0.00005169,0.00004844,0.00005022,985.04,0.049292422203
1662508800,2022-09-07 00:00:00,MAHA/BTC,0.00005123,0.00005188,0.00004813,0.00004973,2342.2852,0.116806973837
1662422400,2022-09-06 00:00:00,MAHA/BTC,0.00005366,0.00005411,0.00005062,0.00005123,4054.8321,0.213476917396
1662336000,2022-09-05 00:00:00,MAHA/BTC,0.00005631,0.0000571,0.00005314,0.00005366,1199.4452,0.065608606267
1662249600,2022-09-04 00:00:00,MAHA/BTC,0.00005634,0.0000568,0.00005602,0.00005634,140.6273,0.007931628408
1662163200,2022-09-03 00:00:00,MAHA/BTC,0.0000563,0.00006023,0.00005559,0.00005668,7142.5082,0.409964446593
1662076800,2022-09-02 00:00:00,MAHA/BTC,0.0000563,0.0000564,0.0000551,0.0000563,319.5061,0.017838843245
1661990400,2022-09-01 00:00:00,MAHA/BTC,0.00005986,0.00005986,0.00005587,0.0000563,1118.3403,0.064575644314
1661904000,2022-08-31 00:00:00,MAHA/BTC,0.0000591,0.00006157,0.00005732,0.00006015,3375.8448,0.200951395954
1661817600,2022-08-30 00:00:00,MAHA/BTC,0.0000569,0.0000617,0.0000569,0.00005944,3103.9619,0.184590930439
1661731200,2022-08-29 00:00:00,MAHA/BTC,0.0000565,0.00005932,0.00005539,0.00005658,1572.5474,0.090094671658
1661644800,2022-08-28 00:00:00,MAHA/BTC,0.0000588,0.000059,0.00005532,0.0000568,2666.2112,0.150941842168
1661558400,2022-08-27 00:00:00,MAHA/BTC,0.00005271,0.00005963,0.00005271,0.0000585,2649.3188,0.151400657236
1661472000,2022-08-26 00:00:00,MAHA/BTC,0.00005419,0.0000564,0.00005185,0.00005271,1599.8864,0.086724073791
1661385600,2022-08-25 00:00:00,MAHA/BTC,0.00005698,0.00006006,0.00005419,0.00005419,2652.9098,0.151724727851
1661299200,2022-08-24 00:00:00,MAHA/BTC,0.00005589,0.0000598,0.00005531,0.00005697,6590.7452,0.379320187666
1661212800,2022-08-23 00:00:00,MAHA/BTC,0.00005328,0.0000581,0.00005118,0.00005552,3935.767,0.21314097691
1661126400,2022-08-22 00:00:00,MAHA/BTC,0.0000506,0.0000637,0.00004863,0.0000532,7681.3626,0.438333951522
