https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM3S,Volume USDT
1663462800,2022-09-18 01:00:00,ATOM3S/USDT,0.0182,0.0182,0.0176,0.018,659019.2156,11746.79995043
1663459200,2022-09-18 00:00:00,ATOM3S/USDT,0.0164,0.0184,0.0164,0.0184,2028496.8031,35703.85880843
1663455600,2022-09-17 23:00:00,ATOM3S/USDT,0.0161,0.0163,0.016,0.0163,673479.7218,10831.02614628
1663452000,2022-09-17 22:00:00,ATOM3S/USDT,0.0158,0.0164,0.0157,0.0162,1130036.0776,18146.45872192
1663448400,2022-09-17 21:00:00,ATOM3S/USDT,0.0157,0.0161,0.0155,0.0159,1183887.5491,18645.29610814
1663444800,2022-09-17 20:00:00,ATOM3S/USDT,0.0155,0.0157,0.0151,0.0156,1163082.2653,17878.22842148
1663441200,2022-09-17 19:00:00,ATOM3S/USDT,0.0157,0.0163,0.0152,0.0156,1076656.6026,17025.00671489
1663437600,2022-09-17 18:00:00,ATOM3S/USDT,0.016,0.0161,0.0155,0.0158,903738.00795491,14246.382801246596
1663434000,2022-09-17 17:00:00,ATOM3S/USDT,0.016,0.0163,0.0157,0.0161,1235737.9989,19737.99179172
1663430400,2022-09-17 16:00:00,ATOM3S/USDT,0.0167,0.0168,0.0157,0.0161,2357570.0392,37686.02157339
1663426800,2022-09-17 15:00:00,ATOM3S/USDT,0.0166,0.0172,0.0162,0.0168,804873.5373,13441.22600541
1663423200,2022-09-17 14:00:00,ATOM3S/USDT,0.0165,0.0169,0.0164,0.0167,1133283.4076,18873.82795788
1663419600,2022-09-17 13:00:00,ATOM3S/USDT,0.016,0.0167,0.016,0.0163,1551714.0776,25371.35683786
1663416000,2022-09-17 12:00:00,ATOM3S/USDT,0.0165,0.0166,0.0157,0.0162,678314.9241,10956.98759772
1663412400,2022-09-17 11:00:00,ATOM3S/USDT,0.0159,0.0165,0.0158,0.0163,1513314.9679,24135.09632248
1663408800,2022-09-17 10:00:00,ATOM3S/USDT,0.0152,0.016,0.0148,0.0159,1979481.9732,30587.30410164
1663405200,2022-09-17 09:00:00,ATOM3S/USDT,0.0165,0.0166,0.0148,0.0152,3995462.4796,62196.70778547
1663401600,2022-09-17 08:00:00,ATOM3S/USDT,0.0167,0.0168,0.0164,0.0164,3610959.8291,59946.97663835
1663398000,2022-09-17 07:00:00,ATOM3S/USDT,0.0173,0.0176,0.0167,0.0167,859838.7084,14619.64248708
1663394400,2022-09-17 06:00:00,ATOM3S/USDT,0.017,0.0175,0.017,0.0173,292500.983,5046.7234945
1663390800,2022-09-17 05:00:00,ATOM3S/USDT,0.0172,0.0173,0.0165,0.0167,521131.7912,8830.37882255
1663387200,2022-09-17 04:00:00,ATOM3S/USDT,0.0169,0.0171,0.0169,0.0171,2328076.8339,39649.84118211
1663383600,2022-09-17 03:00:00,ATOM3S/USDT,0.017,0.0173,0.0167,0.0168,1267627.0244,21452.39466252
1663380000,2022-09-17 02:00:00,ATOM3S/USDT,0.0166,0.017,0.0163,0.017,1061541.1421,17680.38014786
1663376400,2022-09-17 01:00:00,ATOM3S/USDT,0.0166,0.0168,0.0163,0.0165,2539497.7471,42082.28536164
