https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STRK,Volume BTC
1663290000,2022-09-16 01:00:00,STRK/BTC,0.00087618,0.00088,0.00087618,0.00088,13.3551,0.011713577084
1663286400,2022-09-16 00:00:00,STRK/BTC,0.00087554,0.0008779,0.00087261,0.00087618,96.1275,0.084212387551
1663282800,2022-09-15 23:00:00,STRK/BTC,0.00087303,0.00087596,0.00087146,0.00087554,55.8612,0.048791418612
1663279200,2022-09-15 22:00:00,STRK/BTC,0.00087433,0.00087662,0.00087136,0.00087303,89.6669,0.078418119832
1663275600,2022-09-15 21:00:00,STRK/BTC,0.00087329,0.00087593,0.00087229,0.00087433,84.5821,0.073973928932
1663272000,2022-09-15 20:00:00,STRK/BTC,0.00086712,0.00087228,0.00086712,0.00087207,15.3712,0.013362830241
1663268400,2022-09-15 19:00:00,STRK/BTC,0.00085779,0.00086643,0.00085779,0.00086643,28.3979,0.024475027599
1663264800,2022-09-15 18:00:00,STRK/BTC,0.00085433,0.00085793,0.00085426,0.00085793,228.0293,0.195071115508
1663261200,2022-09-15 17:00:00,STRK/BTC,0.00085518,0.00085551,0.00085337,0.00085433,303.6979,0.259682183471
1663257600,2022-09-15 16:00:00,STRK/BTC,0.00085195,0.0008555,0.00085195,0.00085518,90.7863,0.077592227905
1663254000,2022-09-15 15:00:00,STRK/BTC,0.00086682,0.00086736,0.0008509,0.00085246,166.0732,0.142367279094
1663250400,2022-09-15 14:00:00,STRK/BTC,0.00086555,0.00086698,0.00086411,0.00086682,85.472,0.074011814104
1663246800,2022-09-15 13:00:00,STRK/BTC,0.00086708,0.00086896,0.0008639,0.00086555,94.7442,0.082038587315
1663243200,2022-09-15 12:00:00,STRK/BTC,0.00086688,0.00086896,0.00086652,0.00086708,91.4314,0.079310989454
1663239600,2022-09-15 11:00:00,STRK/BTC,0.00086795,0.00086795,0.00086541,0.00086643,55.1023,0.04774219532
1663236000,2022-09-15 10:00:00,STRK/BTC,0.00086674,0.00086702,0.00086378,0.00086589,87.6725,0.0758907911
1663232400,2022-09-15 09:00:00,STRK/BTC,0.00086636,0.00086719,0.00086459,0.00086601,99.0158,0.085748515139
1663228800,2022-09-15 08:00:00,STRK/BTC,0.00086418,0.00086795,0.00086306,0.00086636,59.3301,0.051366894119
1663225200,2022-09-15 07:00:00,STRK/BTC,0.00086549,0.00086549,0.00086169,0.00086418,94.008,0.081106077154
1663221600,2022-09-15 06:00:00,STRK/BTC,0.00086918,0.00087111,0.0008595,0.00086277,71.0074,0.061446114533
1663218000,2022-09-15 05:00:00,STRK/BTC,0.00087305,0.00087312,0.0008674,0.00086918,72.6938,0.063350446402
1663214400,2022-09-15 04:00:00,STRK/BTC,0.00087253,0.00087424,0.00087155,0.00087305,74.9073,0.065420503383
1663210800,2022-09-15 03:00:00,STRK/BTC,0.0008725,0.00088034,0.00087054,0.00087253,84.1573,0.07348662066
1663207200,2022-09-15 02:00:00,STRK/BTC,0.00087696,0.00087914,0.00087094,0.0008725,98.2666,0.085874224621
1663203600,2022-09-15 01:00:00,STRK/BTC,0.00087885,0.00087921,0.0008765,0.00087696,96.2428,0.084467923345
1663200000,2022-09-15 00:00:00,STRK/BTC,0.00088319,0.00088319,0.00087658,0.00087885,91.7335,0.080631794073
1663196400,2022-09-14 23:00:00,STRK/BTC,0.00088311,0.00088463,0.00088248,0.00088319,103.6304,0.091511298004
1663192800,2022-09-14 22:00:00,STRK/BTC,0.00088538,0.0008862,0.00088186,0.00088311,61.3433,0.054272487417
1663189200,2022-09-14 21:00:00,STRK/BTC,0.00089165,0.00089211,0.00088805,0.00088805,102.5798,0.091368649421
1663185600,2022-09-14 20:00:00,STRK/BTC,0.00089466,0.00089584,0.00088907,0.00089165,97.0341,0.086660327706
1663182000,2022-09-14 19:00:00,STRK/BTC,0.00089529,0.00089723,0.00089447,0.00089466,18.2198,0.016324996001
1663178400,2022-09-14 18:00:00,STRK/BTC,0.00087329,0.00089426,0.00087329,0.00089426,12.5227,0.011065394573
1663174800,2022-09-14 17:00:00,STRK/BTC,0.00086912,0.00087228,0.00086895,0.00087228,66.1106,0.057484058264
1663171200,2022-09-14 16:00:00,STRK/BTC,0.00086779,0.00086896,0.00086561,0.00086896,58.3827,0.050628171434
1663167600,2022-09-14 15:00:00,STRK/BTC,0.00086775,0.00086865,0.00086658,0.00086779,86.1628,0.074788065904
1663164000,2022-09-14 14:00:00,STRK/BTC,0.0008677,0.00086876,0.00086271,0.00086775,65.7227,0.057044588424
1663160400,2022-09-14 13:00:00,STRK/BTC,0.00086545,0.00086795,0.00086503,0.0008677,115.6976,0.100351363927
1663156800,2022-09-14 12:00:00,STRK/BTC,0.00086896,0.00086896,0.00085863,0.00086545,159.9709,0.138269642423
1663153200,2022-09-14 11:00:00,STRK/BTC,0.00086782,0.00087137,0.00086584,0.00086896,72.0183,0.062436100398
1663149600,2022-09-14 10:00:00,STRK/BTC,0.00086747,0.00086853,0.00086655,0.00086782,103.8922,0.090131202364
1663146000,2022-09-14 09:00:00,STRK/BTC,0.00086637,0.00086812,0.00086619,0.00086747,98.965,0.085815970237
1663142400,2022-09-14 08:00:00,STRK/BTC,0.00087137,0.00087137,0.00087137,0.00087137,0,0
