Mask,PartNumber,Temperature,Corner,Site,vddio_typ,vddio_typ_unit,dtlg_pad_RPPULLUP,dtlg_pad_RPPULLUP_unit,,filename,
SG802,56-28-102,125,TYP-ENG,1,1.71,V,40810.808,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,1.8,V,40537.703,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,1.95,V,40569.876,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,2.4,V,40558.609,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,2.7,V,40752.435,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,3,V,40823.891,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,3.3,V,40959.971,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,125,TYP-ENG,1,3.6,V,40790.012,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_18_29_23.csv,
SG802,56-28-102,-40,TYP-ENG,1,1.71,V,41383.486,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_20_01_56.csv,
SG802,56-28-102,-40,TYP-ENG,1,1.8,V,41772.208,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_20_01_56.csv,
SG802,56-28-102,-40,TYP-ENG,1,1.95,V,41491.918,Ohm,,C:\home_user\pvalleau\svn_home\Unicron_svn\trunk\Charac\charac_0004\raw_data\CharacResetPullUp_tg_2019_10_11_20_01_56.csv,
