Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.260845,0.266504,0.252537,0.266345,0.266345,396720
2021-08-23,0.266280,0.294986,0.258137,0.278104,0.278104,689195
2021-08-24,0.278124,0.290031,0.256504,0.259569,0.259569,441951
2021-08-25,0.259468,0.273478,0.243049,0.267550,0.267550,523330
2021-08-26,0.267170,0.272784,0.252991,0.255315,0.255315,527923
2021-08-27,0.255325,0.290203,0.250760,0.283865,0.283865,464266
2021-08-28,0.283979,0.294836,0.270671,0.278874,0.278874,325731
2021-08-29,0.278613,0.293825,0.264440,0.293675,0.293675,493822
2021-08-30,0.293660,0.324885,0.282589,0.284909,0.284909,628460
2021-08-31,0.285011,0.295413,0.273853,0.276587,0.276587,431477
2021-09-01,0.276125,0.305787,0.272102,0.305787,0.305787,576626
2021-09-02,0.307075,0.380149,0.305446,0.371451,0.371451,1229690
2021-09-03,0.371353,0.431342,0.348994,0.396750,0.396750,862715
2021-09-04,0.396850,0.416443,0.371255,0.375088,0.375088,390994
2021-09-05,0.375646,0.380557,0.359541,0.371154,0.371154,414369
2021-09-06,0.371351,0.394395,0.352810,0.368866,0.368866,603747
2021-09-07,0.368800,0.433464,0.310532,0.350089,0.350089,1689502
2021-09-08,0.349827,0.435805,0.349827,0.411727,0.411727,1278675
2021-09-09,0.412140,0.514405,0.404851,0.505598,0.505598,1629575
2021-09-10,0.505604,0.579032,0.454247,0.537908,0.537908,1723891
2021-09-11,0.536144,0.774493,0.528723,0.605554,0.605554,4869531
2021-09-12,0.605543,0.618319,0.564105,0.600334,0.600334,744507
2021-09-13,0.600021,0.609937,0.495757,0.544398,0.544398,843501
2021-09-14,0.543805,0.615754,0.543608,0.568060,0.568060,681467
2021-09-15,0.568217,0.576303,0.547788,0.553900,0.553900,450397
2021-09-16,0.555858,0.606711,0.541532,0.594032,0.594032,587625
2021-09-17,0.594135,0.605635,0.554956,0.558069,0.558069,476609
2021-09-18,0.556080,0.561495,0.537931,0.547805,0.547805,474762
2021-09-19,0.547929,0.661336,0.544943,0.636182,0.636182,1207460
2021-09-20,0.636147,0.637109,0.517975,0.539985,0.539985,1236177
2021-09-21,0.539938,0.581114,0.488488,0.493465,0.493465,803878
2021-09-22,0.494096,0.542275,0.470866,0.532411,0.532411,685088
2021-09-23,0.533964,0.536986,0.487637,0.515388,0.515388,667005
2021-09-24,0.515320,0.811786,0.514260,0.738893,0.738893,7072918
2021-09-25,0.739258,0.864167,0.565450,0.716692,0.716692,8667617
2021-09-26,0.714280,0.716114,0.576897,0.623180,0.623180,5601496
2021-09-27,0.627739,0.676539,0.607359,0.614888,0.614888,1757546
2021-09-28,0.614952,0.637627,0.536161,0.545299,0.545299,1094750
2021-09-29,0.545761,0.577000,0.510436,0.519853,0.519853,1331826
2021-09-30,0.517191,0.575201,0.506870,0.545857,0.545857,1532859
2021-10-01,0.546645,0.559745,0.515418,0.558511,0.558511,1576122
2021-10-02,0.558382,0.667137,0.516802,0.632929,0.632929,2373738
2021-10-03,0.632767,0.949990,0.624782,0.819073,0.819073,6423611
2021-10-04,0.812369,0.845832,0.674815,0.750732,0.750732,4658656
2021-10-05,0.754192,0.813573,0.698995,0.770161,0.770161,4304438
2021-10-06,0.773689,0.776809,0.698149,0.734534,0.734534,2263118
2021-10-07,0.733563,0.746719,0.661703,0.744693,0.744693,2226928
2021-10-08,0.745889,0.811272,0.723294,0.760416,0.760416,2126504
2021-10-09,0.760430,0.760430,0.706551,0.715699,0.715699,1198783
2021-10-10,0.715656,0.717078,0.649260,0.652393,0.652393,1057885
2021-10-11,0.650194,0.701900,0.645544,0.688601,0.688601,1176095
2021-10-12,0.689006,0.693393,0.622786,0.650045,0.650045,1152384
2021-10-13,0.653074,0.796800,0.650918,0.750551,0.750551,1727762
2021-10-14,0.750554,0.751271,0.712308,0.713148,0.713148,729580
2021-10-15,0.713647,0.716296,0.661719,0.678329,0.678329,1008967
2021-10-16,0.678196,0.686299,0.652914,0.660979,0.660979,787909
2021-10-17,0.663009,0.665768,0.614775,0.626414,0.626414,886446
2021-10-18,0.626363,0.634859,0.559706,0.584154,0.584154,1574681
2021-10-19,0.584502,0.691915,0.582283,0.667294,0.667294,1470549
2021-10-20,0.667970,0.744699,0.667290,0.721163,0.721163,1223524
2021-10-21,0.721442,0.727587,0.655988,0.658341,0.658341,936636
2021-10-22,0.658246,0.666613,0.627242,0.633279,0.633279,534568
2021-10-23,0.633271,0.665675,0.620372,0.643358,0.643358,922843
2021-10-24,0.643455,0.644299,0.612058,0.618502,0.618502,741050
2021-10-25,0.618450,0.655071,0.588575,0.646743,0.646743,1240537
2021-10-26,0.646763,0.785468,0.624679,0.723849,0.723849,2263202
2021-10-27,0.723849,0.734004,0.650768,0.660519,0.660519,1052451
2021-10-28,0.664175,0.704329,0.625702,0.668230,0.668230,1204216
2021-10-29,0.668720,0.773918,0.667545,0.735985,0.735985,1363823
2021-10-30,0.737413,0.878169,0.716048,0.840960,0.840960,2579848
2021-10-31,0.841415,1.070018,0.840678,0.911815,0.911815,6973064
2021-11-01,0.915326,0.943315,0.841961,0.894312,0.894312,2449149
2021-11-02,0.892064,0.930805,0.789181,0.819107,0.819107,2961107
2021-11-03,0.816449,1.119586,0.799671,0.988474,0.988474,5655438
2021-11-04,0.986418,1.134041,0.964982,1.064994,1.064994,3577526
2021-11-05,1.063338,1.256921,1.022202,1.237105,1.237105,3752283
2021-11-06,1.236112,1.546473,1.233891,1.361042,1.361042,11934021
2021-11-07,1.362794,1.842156,1.335889,1.771928,1.771928,12080204
2021-11-08,1.775546,1.821231,1.412663,1.564474,1.564474,9505474
2021-11-09,1.563990,1.970057,1.523374,1.864773,1.864773,8914123
2021-11-10,1.860196,3.476959,1.851178,1.851178,1.851178,20738111
2021-11-11,1.853433,2.390989,1.572150,2.283160,2.283160,26578072
2021-11-12,2.276400,2.284570,1.895105,2.083103,2.083103,10764627
2021-11-13,2.085427,2.244598,1.994455,2.087565,2.087565,5230934
2021-11-14,2.093562,2.348749,2.054190,2.154332,2.154332,6021736
2021-11-15,2.146102,2.278276,1.874870,1.971522,1.971522,7287197
2021-11-16,1.974288,2.435616,1.695404,1.738917,1.738917,5652614
2021-11-17,1.736180,1.845954,1.577818,1.835029,1.835029,6352883
2021-11-18,1.838767,1.924174,1.499750,1.612648,1.612648,5993310
